Date,Open,High,Low,Close,Volume
2024-09-01,17.72,17.85,16.69,16.83,354431.93
2024-09-02,16.82,17.93,16.74,17.71,288632.64
2024-09-03,17.72,17.95,16.6,16.63,410070.75
2024-09-04,16.63,17.46,15.78,17.06,372855.83
2024-09-05,17.05,17.22,16.46,16.55,245966.54
2024-09-06,16.55,17.18,15.11,15.74,726497.26
2024-09-07,15.74,16.28,15.59,15.97,237213.85
2024-09-08,15.96,16.79,15.76,16.36,319328.39
2024-09-09,16.36,17.2,16.16,16.85,502996.85
2024-09-10,16.85,17.87,16.51,17.67,951279.75
2024-09-11,17.67,17.67,16.57,17.28,640541.03
2024-09-12,17.29,17.79,17.2,17.52,606227.66
2024-09-13,17.51,18.26,17.18,18.03,508752.4
2024-09-14,18.04,18.05,17.34,17.57,415358.14
2024-09-15,17.57,17.7,16.52,16.7,445225.66
2024-09-16,16.69,16.73,16.1,16.33,337833.8
2024-09-17,16.33,17.17,16.09,16.76,339989.8
2024-09-18,16.76,17.47,16.26,17.46,450042.35
