Date,Open,High,Low,Close,Volume
2024-09-01,2513.0,2516.28,2400.0,2425.72,223127.776
2024-09-02,2425.71,2564.83,2423.52,2538.01,262632.8385
2024-09-03,2538.0,2553.6,2411.12,2425.29,224793.1299
2024-09-04,2425.28,2490.0,2306.65,2450.71,384179.3854
2024-09-05,2450.71,2466.0,2348.04,2368.81,278549.0969
2024-09-06,2368.81,2408.83,2150.55,2225.23,643027.111
2024-09-07,2225.24,2311.27,2220.98,2273.58,219453.2076
2024-09-08,2273.58,2333.58,2240.94,2297.3,192775.6493
2024-09-09,2297.3,2381.41,2272.8,2359.5,321698.99
2024-09-10,2359.51,2400.0,2320.41,2388.52,224382.1729
2024-09-11,2388.52,2389.32,2277.68,2340.55,282898.3125
2024-09-12,2340.54,2391.93,2315.39,2361.76,202611.1308
2024-09-13,2361.75,2464.82,2337.35,2439.19,253888.616
2024-09-14,2439.19,2440.6,2376.72,2417.79,122931.2302
2024-09-15,2417.8,2430.32,2283.75,2316.1,174364.1946
2024-09-16,2316.09,2335.7,2252.39,2295.68,330555.232
2024-09-17,2295.67,2393.63,2263.29,2341.8,274206.2588
2024-09-18,2341.79,2376.14,2277.34,2374.75,292917.6008
