Date,Open,High,Low,Close,Volume
2024-09-01,41.5,41.6,39.86,40.24,6140.843
2024-09-02,40.24,42.59,40.18,42.56,10442.65
2024-09-03,42.56,44.04,40.35,40.35,16860.411
2024-09-04,40.35,43.3,38.86,42.59,19371.484
2024-09-05,42.56,43.27,40.25,40.33,22652.122
2024-09-06,40.29,41.57,38.36,39.27,20019.137
2024-09-07,39.26,40.2,38.87,39.53,8973.116
2024-09-08,39.52,41.17,39.52,40.61,8378.013
2024-09-09,40.61,43.27,40.46,42.35,17162.89
2024-09-10,42.35,43.55,41.72,43.27,12904.892
2024-09-11,43.26,43.46,41.7,42.37,12671.723
2024-09-12,42.33,43.7,42.25,43.58,8411.679
2024-09-13,43.52,44.68,42.92,44.35,10413.56
2024-09-14,44.36,44.37,43.18,43.41,8535.892
2024-09-15,43.36,43.65,40.91,41.13,10233.86
2024-09-16,41.13,41.18,38.97,39.67,10182.118
2024-09-17,39.67,41.89,39.32,41.59,6785.42
2024-09-18,41.58,42.5,39.46,42.48,10503.302
