Date,Open,High,Low,Close,Volume
2024-09-01,0.9991,0.9995,0.9987,0.9991,375881822.0
2024-09-02,0.9991,0.9992,0.9988,0.999,318041543.0
2024-09-03,0.9991,0.9992,0.9983,0.9986,476737801.0
2024-09-04,0.9986,0.9989,0.9982,0.9987,533358206.0
2024-09-05,0.9987,0.9989,0.9985,0.9987,293399371.0
2024-09-06,0.9986,0.9988,0.9983,0.9985,487519381.0
2024-09-07,0.9985,0.9985,0.9983,0.9985,173521590.0
2024-09-08,0.9985,0.9989,0.9984,0.9988,172302018.0
2024-09-09,0.9988,0.999,0.9986,0.9989,335998118.0
2024-09-10,0.9989,0.9989,0.9986,0.9989,242006608.0
2024-09-11,0.9988,0.9993,0.9987,0.9989,371734056.0
2024-09-12,0.999,1.0,0.9989,0.9997,505840066.0
2024-09-13,0.9997,1.0008,0.9992,1.0005,539888936.0
2024-09-14,1.0006,1.0006,0.9999,1.0005,375703442.0
2024-09-15,1.0006,1.0013,1.0005,1.0012,338250065.0
2024-09-16,1.0012,1.0019,1.0,1.0003,588197797.0
2024-09-17,1.0002,1.0009,0.9998,1.0004,433601672.0
2024-09-18,1.0004,1.0007,0.9997,0.9998,364029205.0
