Date,Open,High,Low,Close,Volume
2024-09-01,0.3007,0.3167,0.293,0.3021,3799493.0
2024-09-02,0.3023,0.3201,0.2982,0.3173,5513764.0
2024-09-03,0.3175,0.3281,0.3064,0.3069,3333470.0
2024-09-04,0.307,0.3109,0.2849,0.3046,3403460.0
2024-09-05,0.3048,0.315,0.2974,0.3123,3640504.0
2024-09-06,0.3125,0.3151,0.2868,0.296,3750118.0
2024-09-07,0.2962,0.3067,0.2902,0.2916,2275045.0
2024-09-08,0.2916,0.303,0.2892,0.3016,2415330.0
2024-09-09,0.3018,0.3145,0.3001,0.3126,3550086.0
2024-09-10,0.3129,0.3172,0.3017,0.3141,3952701.0
2024-09-11,0.3141,0.3255,0.3008,0.3112,5432190.0
2024-09-12,0.3113,0.32,0.3079,0.3163,2791905.0
2024-09-13,0.3165,0.3263,0.315,0.323,3485597.0
2024-09-14,0.3233,0.3274,0.3183,0.3248,2109542.0
2024-09-15,0.3249,0.3348,0.3091,0.3167,3478941.0
2024-09-16,0.3169,0.3271,0.2909,0.2937,4176138.0
2024-09-17,0.2939,0.3061,0.29,0.3028,3443802.0
2024-09-18,0.303,0.3115,0.292,0.3115,3200675.0
