Date,Open,High,Low,Close,Volume
2024-09-01,3.266,3.272,3.097,3.12,285057.8
2024-09-02,3.118,3.277,3.104,3.253,181696.1
2024-09-03,3.252,3.306,3.106,3.11,240429.8
2024-09-04,3.113,3.194,2.961,3.158,357954.2
2024-09-05,3.155,3.186,3.055,3.082,235736.7
2024-09-06,3.081,3.166,2.896,3.004,389281.2
2024-09-07,3.009,3.128,3.004,3.097,253910.3
2024-09-08,3.098,3.206,3.086,3.167,157554.5
2024-09-09,3.17,3.274,3.148,3.248,319332.1
2024-09-10,3.25,3.326,3.228,3.295,612767.7
2024-09-11,3.295,3.297,3.157,3.272,291758.3
2024-09-12,3.273,3.367,3.262,3.365,203786.0
2024-09-13,3.364,3.382,3.294,3.379,323386.5
2024-09-14,3.38,3.391,3.324,3.351,165399.8
2024-09-15,3.351,3.371,3.21,3.231,178984.3
2024-09-16,3.229,3.274,3.129,3.16,270120.0
2024-09-17,3.161,3.31,3.148,3.275,230042.8
2024-09-18,3.273,3.342,3.138,3.34,371921.9
