Date,Open,High,Low,Close,Volume
2024-09-01,0.1611,0.1611,0.1535,0.1551,3639069.3
2024-09-02,0.155,0.1643,0.1542,0.1632,5690181.7
2024-09-03,0.1632,0.1653,0.1549,0.1549,5057005.4
2024-09-04,0.1549,0.1631,0.1475,0.1598,8372461.0
2024-09-05,0.1597,0.1608,0.1503,0.1523,6401417.1
2024-09-06,0.1523,0.157,0.1417,0.1466,7436194.3
2024-09-07,0.1466,0.1518,0.1465,0.1491,3572667.3
2024-09-08,0.1491,0.1566,0.1474,0.1556,6197379.8
2024-09-09,0.1554,0.1615,0.1533,0.1594,5631439.0
2024-09-10,0.1596,0.1615,0.1576,0.1599,3981417.0
2024-09-11,0.1599,0.1663,0.1532,0.1608,9055534.3
2024-09-12,0.1608,0.1823,0.1606,0.1695,28577969.2
2024-09-13,0.1697,0.1799,0.1642,0.1752,11739304.1
2024-09-14,0.1753,0.1757,0.1683,0.1711,4004953.4
2024-09-15,0.171,0.1779,0.1623,0.1633,7132983.4
2024-09-16,0.1633,0.1658,0.1571,0.1589,9310659.7
2024-09-17,0.1589,0.1688,0.1575,0.1641,5256769.0
2024-09-18,0.1641,0.1692,0.1583,0.1689,9439747.4
