Date,Open,High,Low,Close,Volume
2024-09-01,150.3,150.7,141.2,142.0,5386.501
2024-09-02,142.0,150.4,141.6,149.2,3241.464
2024-09-03,149.3,150.0,144.5,146.7,6181.087
2024-09-04,146.7,156.7,140.6,153.5,11769.821
2024-09-05,153.5,154.8,146.0,146.7,3372.609
2024-09-06,146.5,151.5,138.1,139.8,5202.546
2024-09-07,139.9,145.0,139.3,142.5,1908.877
2024-09-08,142.4,146.3,142.3,145.3,2334.889
2024-09-09,145.3,152.3,145.2,151.5,3143.873
2024-09-10,151.5,152.3,148.8,151.1,5604.885
2024-09-11,151.3,151.3,144.6,148.0,3581.482
2024-09-12,148.0,150.3,147.2,150.0,3100.966
2024-09-13,149.9,154.1,148.0,153.7,3320.723
2024-09-14,153.7,154.5,152.8,154.3,1566.114
2024-09-15,154.4,155.6,149.0,149.1,2379.509
2024-09-16,149.1,149.4,144.9,145.7,2728.797
2024-09-17,145.7,154.8,144.1,150.2,3307.947
2024-09-18,150.2,150.7,144.5,150.2,4988.649
