Date,Open,High,Low,Close,Volume
2024-09-01,0.593,0.604,0.566,0.567,2731015.0
2024-09-02,0.567,0.608,0.561,0.601,2482923.0
2024-09-03,0.601,0.612,0.547,0.549,2419520.0
2024-09-04,0.549,0.606,0.517,0.595,4334725.0
2024-09-05,0.595,0.602,0.581,0.584,1987157.3
2024-09-06,0.582,0.6,0.538,0.565,2472200.8
2024-09-07,0.565,0.583,0.558,0.565,1796066.1
2024-09-08,0.565,0.615,0.564,0.611,2759202.8
2024-09-09,0.61,0.618,0.572,0.61,4388847.2
2024-09-10,0.61,0.616,0.593,0.607,2687864.9
2024-09-11,0.607,0.64,0.594,0.629,5187314.2
2024-09-12,0.629,0.645,0.609,0.631,2706875.4
2024-09-13,0.631,0.65,0.607,0.64,2567456.0
2024-09-14,0.64,0.645,0.606,0.622,2188199.9
2024-09-15,0.622,0.631,0.593,0.6,1727727.7
2024-09-16,0.6,0.603,0.593,0.597,1576540.2
2024-09-17,0.597,0.615,0.594,0.609,2027550.9
2024-09-18,0.608,0.626,0.595,0.625,1930223.0
