Date,Open,High,Low,Close,Volume
2024-09-01,37.74,37.87,34.89,35.26,48524.959
2024-09-02,35.22,38.49,35.16,38.02,61954.792
2024-09-03,38.0,38.79,35.75,35.89,40264.909
2024-09-04,35.92,38.04,34.05,37.28,43805.95
2024-09-05,37.26,37.55,35.57,35.92,30933.967
2024-09-06,35.93,37.32,33.16,34.43,52895.664
2024-09-07,34.38,36.3,34.29,35.75,28804.289
2024-09-08,35.75,37.0,35.5,36.41,25815.746
2024-09-09,36.43,38.52,35.9,38.0,37181.76
2024-09-10,38.01,39.23,37.45,38.67,28719.889
2024-09-11,38.72,38.76,35.74,37.09,143143.796
2024-09-12,37.14,39.56,37.14,39.48,48974.073
2024-09-13,39.49,40.93,38.53,40.55,47094.253
2024-09-14,40.64,41.02,39.68,40.04,35142.873
2024-09-15,40.04,40.35,36.7,37.13,35135.14
2024-09-16,37.15,37.29,35.34,35.93,98428.835
2024-09-17,35.92,38.42,35.51,37.6,55039.772
2024-09-18,37.6,39.13,36.13,39.08,59952.433
