Date,Open,High,Low,Close,Volume
2024-09-01,0.03093,0.03102,0.0299,0.02994,29714326.2
2024-09-02,0.02993,0.03024,0.02987,0.03009,19793035.6
2024-09-03,0.0301,0.03018,0.02863,0.02863,37123580.1
2024-09-04,0.02863,0.02921,0.02826,0.02883,59251413.2
2024-09-05,0.02883,0.02886,0.02833,0.02835,15908086.4
2024-09-06,0.02835,0.02847,0.02759,0.02791,27557235.7
2024-09-07,0.02792,0.02829,0.02778,0.02786,28302227.5
2024-09-08,0.02789,0.02852,0.02784,0.02845,23865234.9
2024-09-09,0.02845,0.02882,0.02832,0.02878,15506299.5
2024-09-10,0.02878,0.02879,0.02822,0.02852,15869930.2
2024-09-11,0.02851,0.02854,0.02801,0.02821,14289559.7
2024-09-12,0.02821,0.02845,0.02815,0.02835,12915410.4
2024-09-13,0.02835,0.02836,0.02807,0.02835,19217067.8
2024-09-14,0.02835,0.02836,0.028,0.02806,10449862.9
2024-09-15,0.02806,0.02832,0.028,0.02807,15695828.7
2024-09-16,0.02806,0.02807,0.02787,0.02795,9598303.8
2024-09-17,0.02795,0.02815,0.02771,0.02801,21875457.5
2024-09-18,0.02801,0.02803,0.02725,0.02764,25972506.1
