Date,Open,High,Low,Close,Volume
2024-09-01,1.594,1.613,1.521,1.536,305995.38
2024-09-02,1.536,1.612,1.527,1.608,242658.96
2024-09-03,1.608,1.626,1.546,1.575,338447.9
2024-09-04,1.575,1.622,1.512,1.606,346662.14
2024-09-05,1.605,1.607,1.544,1.561,249920.2
2024-09-06,1.562,1.589,1.473,1.516,385832.42
2024-09-07,1.516,1.56,1.502,1.538,268336.94
2024-09-08,1.538,1.58,1.53,1.569,184215.07
2024-09-09,1.569,1.64,1.558,1.638,185364.9
2024-09-10,1.638,1.649,1.614,1.645,132123.42
2024-09-11,1.645,1.648,1.583,1.625,123140.55
2024-09-12,1.625,1.652,1.617,1.634,147393.71
2024-09-13,1.635,1.655,1.621,1.643,103804.54
2024-09-14,1.643,1.653,1.617,1.636,104575.72
2024-09-15,1.635,1.642,1.552,1.553,124438.58
2024-09-16,1.553,1.566,1.509,1.536,189028.76
2024-09-17,1.536,1.569,1.522,1.554,120502.98
2024-09-18,1.554,1.587,1.515,1.587,159294.31
