Date,Open,High,Low,Close,Volume
2024-09-01,0.2363,0.2379,0.2294,0.232,2097314.0
2024-09-02,0.2318,0.2446,0.2264,0.2442,2087273.0
2024-09-03,0.2442,0.2467,0.2312,0.2324,2668421.0
2024-09-04,0.2325,0.242,0.2227,0.2369,2806496.0
2024-09-05,0.2369,0.2393,0.2274,0.2297,2023734.0
2024-09-06,0.2295,0.2365,0.217,0.225,2194326.0
2024-09-07,0.2251,0.2324,0.2235,0.2289,1568919.0
2024-09-08,0.2287,0.2376,0.2267,0.2371,1564296.0
2024-09-09,0.2371,0.2504,0.235,0.2492,1454593.0
2024-09-10,0.2492,0.2528,0.2458,0.2523,1518524.0
2024-09-11,0.2523,0.2527,0.2406,0.2486,1464272.0
2024-09-12,0.2488,0.2552,0.2471,0.2549,1434437.0
2024-09-13,0.2549,0.2605,0.2495,0.2595,1025939.0
2024-09-14,0.2595,0.2602,0.2516,0.2528,665653.0
2024-09-15,0.2528,0.2548,0.235,0.2358,1506418.0
2024-09-16,0.2358,0.2398,0.2251,0.2271,2203934.0
2024-09-17,0.2272,0.2337,0.2244,0.231,2964675.0
2024-09-18,0.231,0.2385,0.2212,0.2384,2101869.0
