Date,Open,High,Low,Close,Volume
2024-09-01,46.67,46.73,44.46,45.0,12873.01
2024-09-02,45.0,47.77,44.3,47.42,13953.9
2024-09-03,47.42,48.15,45.46,45.81,13185.58
2024-09-04,45.85,47.08,43.36,46.4,15315.94
2024-09-05,46.41,46.67,43.82,44.47,13539.43
2024-09-06,44.51,44.98,40.0,41.31,43474.26
2024-09-07,41.28,42.76,40.84,41.42,12497.86
2024-09-08,41.42,42.65,41.2,42.08,10083.38
2024-09-09,42.09,44.77,41.9,44.29,11186.33
2024-09-10,44.24,45.71,43.61,45.42,9279.18
2024-09-11,45.45,45.52,43.38,45.4,10593.88
2024-09-12,45.41,46.56,44.93,46.49,8955.97
2024-09-13,46.55,48.2,45.75,47.86,10175.99
2024-09-14,47.82,48.01,46.56,47.63,9520.16
2024-09-15,47.58,48.06,44.59,45.09,12566.02
2024-09-16,45.06,45.55,43.54,43.78,12965.8
2024-09-17,43.78,45.74,43.18,45.33,8778.23
2024-09-18,45.36,47.39,44.05,47.32,10273.65
