Date,Open,High,Low,Close,Volume
2024-09-01,0.3306,0.3324,0.3073,0.309,14880400.6
2024-09-02,0.3087,0.3419,0.3049,0.333,10687056.5
2024-09-03,0.333,0.3426,0.3183,0.3207,8642985.0
2024-09-04,0.3206,0.3447,0.2963,0.3343,16525002.0
2024-09-05,0.3344,0.3373,0.3187,0.3226,5116988.7
2024-09-06,0.3227,0.3358,0.2933,0.3096,11572733.7
2024-09-07,0.3092,0.3177,0.3007,0.3051,6473156.8
2024-09-08,0.3049,0.3228,0.3015,0.314,6127231.9
2024-09-09,0.3143,0.3409,0.3072,0.3333,12549206.3
2024-09-10,0.3334,0.3496,0.3284,0.3424,12233627.5
2024-09-11,0.3427,0.3429,0.314,0.3264,9689276.0
2024-09-12,0.3262,0.3563,0.3262,0.3508,10380017.2
2024-09-13,0.3509,0.364,0.3339,0.3594,11571202.5
2024-09-14,0.3596,0.3691,0.345,0.3504,8340497.7
2024-09-15,0.3506,0.3543,0.3246,0.3265,5746785.1
2024-09-16,0.3264,0.3621,0.3155,0.3235,36228817.1
2024-09-17,0.3235,0.3545,0.3181,0.3431,14665453.7
2024-09-18,0.3432,0.371,0.3288,0.3701,13972643.8
