Date,Open,High,Low,Close,Volume
2024-09-01,12.224,12.378,11.484,11.598,298584.86
2024-09-02,11.587,12.97,11.5,12.643,328112.09
2024-09-03,12.646,12.72,11.661,11.682,211969.64
2024-09-04,11.678,12.2,11.047,11.793,333217.13
2024-09-05,11.789,12.09,11.181,11.304,285413.33
2024-09-06,11.305,11.693,10.397,10.934,366617.93
2024-09-07,10.93,11.515,10.71,10.962,249956.7
2024-09-08,10.965,11.566,10.927,11.408,238449.83
2024-09-09,11.409,12.077,11.239,11.91,244888.25
2024-09-10,11.909,12.057,11.597,11.874,209933.86
2024-09-11,11.874,11.892,11.145,11.63,263969.68
2024-09-12,11.629,13.0,11.629,12.503,416551.4
2024-09-13,12.501,13.03,12.096,12.842,403091.15
2024-09-14,12.845,13.006,12.36,12.49,135067.09
2024-09-15,12.49,12.682,11.886,12.012,146187.63
2024-09-16,12.001,12.056,11.335,11.505,147914.88
2024-09-17,11.508,12.788,11.355,12.492,283889.48
2024-09-18,12.495,12.86,11.775,12.768,304194.53
