Date,Open,High,Low,Close,Volume
2024-09-01,0.1256,0.1256,0.1164,0.1183,7624987.0
2024-09-02,0.1181,0.1289,0.118,0.1269,8781028.0
2024-09-03,0.1269,0.129,0.119,0.1191,10743016.0
2024-09-04,0.1193,0.1263,0.114,0.1232,15121861.0
2024-09-05,0.1232,0.124,0.1174,0.1188,7684552.0
2024-09-06,0.1188,0.1226,0.1113,0.1155,17336645.0
2024-09-07,0.1155,0.1183,0.1154,0.1168,9454037.0
2024-09-08,0.1169,0.1211,0.1163,0.1194,9549788.0
2024-09-09,0.1195,0.1243,0.1176,0.123,17503082.0
2024-09-10,0.123,0.1242,0.1199,0.1229,12195530.0
2024-09-11,0.123,0.123,0.117,0.1188,12176693.0
2024-09-12,0.1189,0.1228,0.1189,0.1222,10388862.0
2024-09-13,0.1224,0.1247,0.1185,0.1233,13837580.0
2024-09-14,0.1233,0.1245,0.12,0.121,7740561.0
2024-09-15,0.121,0.1233,0.1158,0.1173,17818765.0
2024-09-16,0.1172,0.1178,0.1125,0.1136,16056767.0
2024-09-17,0.1135,0.1188,0.1125,0.1163,15826198.0
2024-09-18,0.1164,0.1206,0.112,0.1205,20974981.0
