Date,Open,High,Low,Close,Volume
2024-09-01,2.042,2.196,1.955,1.971,3148412.6
2024-09-02,1.97,2.348,1.958,2.3,4322608.7
2024-09-03,2.302,2.32,2.074,2.101,3640954.9
2024-09-04,2.103,2.136,1.975,2.077,3642213.3
2024-09-05,2.075,2.09,1.973,2.01,1874978.4
2024-09-06,2.009,2.034,1.826,1.889,2085491.0
2024-09-07,1.889,1.937,1.868,1.896,707676.6
2024-09-08,1.897,2.052,1.886,2.005,1597444.1
2024-09-09,2.005,2.075,1.979,2.048,1038073.6
2024-09-10,2.048,2.085,2.005,2.071,675044.7
2024-09-11,2.07,2.071,1.981,2.05,788299.9
2024-09-12,2.049,2.203,2.048,2.194,1198332.9
2024-09-13,2.195,2.203,2.121,2.167,1356470.4
2024-09-14,2.167,2.17,2.083,2.098,979125.2
2024-09-15,2.098,2.143,2.047,2.075,1868951.6
2024-09-16,2.074,2.136,2.045,2.06,3120897.2
2024-09-17,2.06,2.139,2.043,2.109,1732707.5
2024-09-18,2.109,2.259,2.105,2.208,2619886.3
