Date,Open,High,Low,Close,Volume
2024-09-01,0.4196,0.4203,0.3967,0.4023,58016271.7
2024-09-02,0.4022,0.415,0.3956,0.4108,82485496.7
2024-09-03,0.4108,0.415,0.3965,0.3978,80614184.7
2024-09-04,0.3978,0.4003,0.35,0.3814,137684321.2
2024-09-05,0.3814,0.3879,0.362,0.3685,51347366.6
2024-09-06,0.3686,0.3794,0.3505,0.3659,45664659.2
2024-09-07,0.366,0.3764,0.3643,0.3695,18675410.6
2024-09-08,0.3695,0.3799,0.3673,0.3757,28256827.2
2024-09-09,0.3758,0.3857,0.3714,0.3822,53199619.6
2024-09-10,0.3821,0.3826,0.3774,0.3794,4452579.6
