Date,Open,High,Low,Close,Volume
2024-09-01,0.1884,0.2038,0.1851,0.1858,26260296.0
2024-09-02,0.1858,0.2097,0.1841,0.2075,14687254.0
2024-09-03,0.2074,0.2102,0.1877,0.1878,9909548.0
2024-09-04,0.1879,0.1941,0.1763,0.1908,9999820.0
2024-09-05,0.1906,0.1921,0.1812,0.1821,6274646.0
2024-09-06,0.1822,0.1944,0.1709,0.179,18319876.0
2024-09-07,0.1788,0.1891,0.1765,0.1829,6586024.0
2024-09-08,0.1829,0.198,0.1817,0.1919,11180863.0
2024-09-09,0.192,0.1999,0.1877,0.195,8591089.0
2024-09-10,0.195,0.2023,0.1902,0.1994,6297916.0
2024-09-11,0.1992,0.1994,0.1859,0.1937,8564405.0
2024-09-12,0.1942,0.2013,0.1924,0.2011,5982348.0
2024-09-13,0.2011,0.2056,0.1973,0.2043,5537293.0
2024-09-14,0.2043,0.2057,0.1989,0.2018,3506182.0
2024-09-15,0.2018,0.2038,0.1906,0.1925,4121246.0
2024-09-16,0.1924,0.1953,0.1848,0.1864,6294514.0
2024-09-17,0.1864,0.2027,0.1822,0.2003,9382501.0
2024-09-18,0.2005,0.2099,0.1909,0.2097,12463136.0
