Date,Open,High,Low,Close,Volume
2024-09-01,0.1613,0.162,0.1425,0.1457,35958723.4
2024-09-02,0.1459,0.1596,0.1442,0.1566,34625603.0
2024-09-03,0.1565,0.1594,0.1458,0.1467,29601517.8
2024-09-04,0.1469,0.1483,0.1363,0.1437,37757392.5
2024-09-05,0.1437,0.1458,0.1361,0.1386,23692263.9
2024-09-06,0.1385,0.1428,0.127,0.1334,32690323.2
2024-09-07,0.1333,0.1457,0.1308,0.1421,43905641.5
2024-09-08,0.1421,0.147,0.1376,0.1416,32362914.7
2024-09-09,0.1419,0.1489,0.1392,0.1464,28326444.3
2024-09-10,0.1465,0.1471,0.1424,0.1442,25071905.5
2024-09-11,0.1443,0.1455,0.1367,0.1418,24023459.2
2024-09-12,0.1421,0.1487,0.1421,0.1477,23316079.6
2024-09-13,0.1479,0.1501,0.1438,0.1484,20846602.0
2024-09-14,0.1486,0.1492,0.144,0.1469,11197505.8
2024-09-15,0.1467,0.1489,0.1373,0.1392,17417367.6
2024-09-16,0.1391,0.1404,0.1342,0.136,21783867.9
2024-09-17,0.1359,0.1429,0.1344,0.1404,20391949.4
2024-09-18,0.1404,0.1456,0.1345,0.1456,24167285.0
