Date,Open,High,Low,Close,Volume
2024-09-01,0.0675,0.0677,0.0624,0.063,17695877.0
2024-09-02,0.0629,0.0681,0.0629,0.0675,10013376.0
2024-09-03,0.0678,0.0704,0.0649,0.0649,36628461.0
2024-09-04,0.065,0.0688,0.0615,0.0662,13916048.0
2024-09-05,0.0661,0.0666,0.063,0.0648,8389748.0
2024-09-06,0.0648,0.0657,0.0592,0.0617,19211409.0
2024-09-07,0.0617,0.0642,0.0609,0.0623,7106658.0
2024-09-08,0.0624,0.0652,0.0619,0.0643,6716751.0
2024-09-09,0.0643,0.0674,0.0642,0.0666,11702940.0
2024-09-10,0.0665,0.0714,0.0659,0.0685,19117396.0
2024-09-11,0.0685,0.0719,0.0659,0.069,34219166.0
2024-09-12,0.069,0.0711,0.0682,0.0706,13348578.0
2024-09-13,0.0705,0.0715,0.0686,0.0707,13019428.0
2024-09-14,0.0708,0.0709,0.069,0.0699,7179259.0
2024-09-15,0.0699,0.0724,0.0676,0.0686,20354039.0
2024-09-16,0.0686,0.0686,0.063,0.0639,11472120.0
2024-09-17,0.064,0.0671,0.0633,0.0651,10009506.0
2024-09-18,0.0652,0.0697,0.0637,0.0696,14729644.0
