name,Date,Open,High,Low,Close,Volume
1INCHUSDT.csv,2024-09-01,0.2388,0.2399,0.222,0.2252,6420143.9
1INCHUSDT.csv,2024-09-02,0.2252,0.2371,0.223,0.2347,6984714.1
1INCHUSDT.csv,2024-09-03,0.2347,0.2382,0.222,0.2225,5980786.8
1INCHUSDT.csv,2024-09-04,0.2225,0.2919,0.2106,0.2772,135712830.5
1INCHUSDT.csv,2024-09-05,0.2773,0.2834,0.2509,0.2547,52798370.3
1INCHUSDT.csv,2024-09-06,0.2547,0.2617,0.2423,0.2577,42551514.8
1INCHUSDT.csv,2024-09-07,0.2577,0.2633,0.2488,0.251,22415844.3
1INCHUSDT.csv,2024-09-08,0.2509,0.2546,0.2454,0.251,17456232.5
1INCHUSDT.csv,2024-09-09,0.251,0.2666,0.2457,0.2629,22165341.6
1INCHUSDT.csv,2024-09-10,0.2631,0.2639,0.2556,0.26,13584880.7
1INCHUSDT.csv,2024-09-11,0.2601,0.2604,0.24,0.2475,17313059.9
1INCHUSDT.csv,2024-09-12,0.2474,0.2574,0.2464,0.2572,14190516.4
1INCHUSDT.csv,2024-09-13,0.257,0.2729,0.2567,0.2671,31366105.1
1INCHUSDT.csv,2024-09-14,0.267,0.2687,0.26,0.2621,8039021.0
1INCHUSDT.csv,2024-09-15,0.262,0.2624,0.2429,0.2456,11762816.0
1INCHUSDT.csv,2024-09-16,0.2455,0.2455,0.2322,0.2359,27250185.0
1INCHUSDT.csv,2024-09-17,0.2358,0.2467,0.2335,0.2397,14197913.6
1INCHUSDT.csv,2024-09-18,0.24,0.2534,0.2338,0.2532,17618109.5
AAVEUSDT.csv,2024-09-01,129.68,130.08,120.15,120.7,163920.237
AAVEUSDT.csv,2024-09-02,120.64,135.34,117.8,134.9,296372.832
AAVEUSDT.csv,2024-09-03,134.9,135.25,118.62,118.78,391255.656
AAVEUSDT.csv,2024-09-04,118.78,140.9,116.0,135.27,830363.512
AAVEUSDT.csv,2024-09-05,135.24,137.36,127.44,128.96,358177.577
AAVEUSDT.csv,2024-09-06,128.97,130.93,119.56,126.85,433303.253
AAVEUSDT.csv,2024-09-07,126.86,130.83,123.94,125.13,229905.302
AAVEUSDT.csv,2024-09-08,125.16,127.57,123.18,125.98,184815.6
AAVEUSDT.csv,2024-09-09,125.98,142.28,124.15,139.97,466110.57
AAVEUSDT.csv,2024-09-10,139.97,153.0,136.19,150.59,452339.615
AAVEUSDT.csv,2024-09-11,150.6,160.01,144.92,149.47,574762.816
AAVEUSDT.csv,2024-09-12,149.47,151.95,141.63,145.01,468098.744
AAVEUSDT.csv,2024-09-13,145.01,146.45,139.34,144.33,331885.751
AAVEUSDT.csv,2024-09-14,144.33,144.35,137.46,140.06,167604.562
AAVEUSDT.csv,2024-09-15,140.06,149.96,139.88,143.37,321936.213
AAVEUSDT.csv,2024-09-16,143.34,143.8,138.0,140.3,265919.992
AAVEUSDT.csv,2024-09-17,140.3,147.5,136.45,140.6,259492.692
AAVEUSDT.csv,2024-09-18,140.58,142.03,134.14,141.76,242120.922
ACMUSDT.csv,2024-09-01,1.445,1.527,1.372,1.385,717268.4
ACMUSDT.csv,2024-09-02,1.385,1.479,1.377,1.478,233842.6
ACMUSDT.csv,2024-09-03,1.478,1.489,1.399,1.405,652306.7
ACMUSDT.csv,2024-09-04,1.405,1.459,1.365,1.436,481721.3
ACMUSDT.csv,2024-09-05,1.438,1.448,1.362,1.368,393245.5
ACMUSDT.csv,2024-09-06,1.369,1.413,1.317,1.353,392569.2
ACMUSDT.csv,2024-09-07,1.351,1.387,1.34,1.374,180733.2
ACMUSDT.csv,2024-09-08,1.373,1.415,1.366,1.412,138515.0
ACMUSDT.csv,2024-09-09,1.412,1.493,1.405,1.48,265746.3
ACMUSDT.csv,2024-09-10,1.481,1.506,1.462,1.505,288861.2
ACMUSDT.csv,2024-09-11,1.503,1.504,1.438,1.484,321782.7
ACMUSDT.csv,2024-09-12,1.483,1.505,1.48,1.5,239634.3
ACMUSDT.csv,2024-09-13,1.5,1.543,1.486,1.535,245847.5
ACMUSDT.csv,2024-09-14,1.537,1.537,1.509,1.524,159999.4
ACMUSDT.csv,2024-09-15,1.524,1.535,1.421,1.427,192314.6
ACMUSDT.csv,2024-09-16,1.424,1.426,1.369,1.394,332251.4
ACMUSDT.csv,2024-09-17,1.393,1.417,1.377,1.396,245530.7
ACMUSDT.csv,2024-09-18,1.395,1.41,1.355,1.41,196928.5
ADAUSDT.csv,2024-09-01,0.3451,0.3458,0.3267,0.3311,63866107.4
ADAUSDT.csv,2024-09-02,0.331,0.3374,0.325,0.3362,70472662.0
ADAUSDT.csv,2024-09-03,0.3362,0.3398,0.3172,0.3185,75474745.4
ADAUSDT.csv,2024-09-04,0.3184,0.3293,0.305,0.3231,120424863.1
ADAUSDT.csv,2024-09-05,0.3231,0.3401,0.3195,0.3251,116970963.2
ADAUSDT.csv,2024-09-06,0.3251,0.3319,0.3034,0.3148,132485885.1
ADAUSDT.csv,2024-09-07,0.3148,0.3278,0.3145,0.3253,44625799.5
ADAUSDT.csv,2024-09-08,0.3253,0.3409,0.3237,0.339,71465766.9
ADAUSDT.csv,2024-09-09,0.339,0.3489,0.3376,0.3435,80797659.4
ADAUSDT.csv,2024-09-10,0.3434,0.3457,0.3374,0.3431,51064979.8
ADAUSDT.csv,2024-09-11,0.3431,0.3573,0.33,0.3532,76745712.0
ADAUSDT.csv,2024-09-12,0.3532,0.3617,0.352,0.3564,83045574.5
ADAUSDT.csv,2024-09-13,0.3563,0.365,0.3503,0.3606,61642001.2
ADAUSDT.csv,2024-09-14,0.3606,0.3617,0.351,0.3539,40948020.2
ADAUSDT.csv,2024-09-15,0.354,0.3563,0.3341,0.3385,67858002.3
ADAUSDT.csv,2024-09-16,0.3386,0.3386,0.3264,0.3303,66210102.2
ADAUSDT.csv,2024-09-17,0.3302,0.3431,0.3284,0.3338,58973434.3
ADAUSDT.csv,2024-09-18,0.3337,0.3443,0.3272,0.3441,70247471.4
AKROUSDT.csv,2024-09-01,0.004593,0.004868,0.004416,0.004457,509676936.0
AKROUSDT.csv,2024-09-02,0.004453,0.004594,0.004332,0.004577,170282729.0
AKROUSDT.csv,2024-09-03,0.004574,0.004628,0.00433,0.004341,123517732.0
AKROUSDT.csv,2024-09-04,0.00434,0.004411,0.00404,0.004323,174532209.0
AKROUSDT.csv,2024-09-05,0.00432,0.004347,0.004097,0.004105,175411220.0
AKROUSDT.csv,2024-09-06,0.004098,0.004233,0.003941,0.004083,249134872.0
AKROUSDT.csv,2024-09-07,0.004084,0.004376,0.004022,0.004217,406350348.0
AKROUSDT.csv,2024-09-08,0.004217,0.004295,0.004112,0.004217,316636436.0
AKROUSDT.csv,2024-09-09,0.004217,0.004474,0.004195,0.004411,288037563.0
AKROUSDT.csv,2024-09-10,0.004411,0.00548,0.00414,0.004377,1504739220.0
AKROUSDT.csv,2024-09-11,0.004375,0.004399,0.004147,0.004206,701240458.0
AKROUSDT.csv,2024-09-12,0.004205,0.004416,0.004149,0.004277,531374111.0
AKROUSDT.csv,2024-09-13,0.004277,0.004357,0.004203,0.004336,446001239.0
AKROUSDT.csv,2024-09-14,0.004339,0.00438,0.004252,0.004285,344648625.0
AKROUSDT.csv,2024-09-15,0.004288,0.004417,0.004117,0.00416,442385806.0
AKROUSDT.csv,2024-09-16,0.004159,0.004263,0.004028,0.004123,461092656.0
AKROUSDT.csv,2024-09-17,0.004118,0.004271,0.004072,0.004222,528092191.0
AKROUSDT.csv,2024-09-18,0.004218,0.004301,0.00403,0.004286,626707911.0
ALGOUSDT.csv,2024-09-01,0.1232,0.1235,0.1174,0.1184,27332036.0
ALGOUSDT.csv,2024-09-02,0.1184,0.1261,0.1179,0.1257,27918721.0
ALGOUSDT.csv,2024-09-03,0.1256,0.1271,0.1191,0.1194,26097807.0
ALGOUSDT.csv,2024-09-04,0.1193,0.1246,0.114,0.1224,41938146.0
ALGOUSDT.csv,2024-09-05,0.1225,0.1225,0.1159,0.1176,29351512.0
ALGOUSDT.csv,2024-09-06,0.1176,0.1212,0.1114,0.1164,53986864.0
ALGOUSDT.csv,2024-09-07,0.1163,0.1226,0.1153,0.1208,31264994.0
ALGOUSDT.csv,2024-09-08,0.1208,0.1269,0.1201,0.125,39513152.0
ALGOUSDT.csv,2024-09-09,0.1251,0.1294,0.1239,0.1279,30919367.0
ALGOUSDT.csv,2024-09-10,0.1279,0.1297,0.1258,0.1296,23184691.0
ALGOUSDT.csv,2024-09-11,0.1296,0.1297,0.1224,0.1269,27746145.0
ALGOUSDT.csv,2024-09-12,0.1269,0.1305,0.1264,0.1301,18961908.0
ALGOUSDT.csv,2024-09-13,0.1301,0.1337,0.127,0.1332,25082068.0
ALGOUSDT.csv,2024-09-14,0.1332,0.1337,0.1303,0.1311,19995050.0
ALGOUSDT.csv,2024-09-15,0.1312,0.1317,0.1256,0.1261,21110512.0
ALGOUSDT.csv,2024-09-16,0.1262,0.1281,0.1222,0.1236,31675528.0
ALGOUSDT.csv,2024-09-17,0.1237,0.1276,0.1221,0.1241,29098372.0
ALGOUSDT.csv,2024-09-18,0.1241,0.1278,0.1192,0.1278,38501912.0
ALICEUSDT.csv,2024-09-01,0.972,0.975,0.908,0.918,1130466.29
ALICEUSDT.csv,2024-09-02,0.917,0.982,0.916,0.974,1047867.18
ALICEUSDT.csv,2024-09-03,0.975,0.988,0.91,0.913,1633437.52
ALICEUSDT.csv,2024-09-04,0.913,0.965,0.862,0.947,1432463.63
ALICEUSDT.csv,2024-09-05,0.946,0.953,0.91,0.917,942395.83
ALICEUSDT.csv,2024-09-06,0.918,0.944,0.849,0.881,1497886.47
ALICEUSDT.csv,2024-09-07,0.88,0.973,0.872,0.949,2896632.54
ALICEUSDT.csv,2024-09-08,0.949,1.019,0.936,0.955,3847636.12
ALICEUSDT.csv,2024-09-09,0.957,1.0,0.947,0.988,1951755.68
ALICEUSDT.csv,2024-09-10,0.987,1.014,0.97,0.999,1127861.39
ALICEUSDT.csv,2024-09-11,0.999,1.004,0.952,0.985,1366675.22
ALICEUSDT.csv,2024-09-12,0.985,1.009,0.976,0.996,914388.78
ALICEUSDT.csv,2024-09-13,0.996,1.047,0.977,1.032,1194332.11
ALICEUSDT.csv,2024-09-14,1.033,1.034,0.999,1.005,969370.34
ALICEUSDT.csv,2024-09-15,1.005,1.028,0.95,0.961,1036376.01
ALICEUSDT.csv,2024-09-16,0.961,0.973,0.913,0.924,1331066.17
ALICEUSDT.csv,2024-09-17,0.924,0.98,0.915,0.962,978299.64
ALICEUSDT.csv,2024-09-18,0.96,1.02,0.93,1.017,1578374.83
ALPHAUSDT.csv,2024-09-01,0.0557,0.0559,0.0528,0.0536,20613344.0
ALPHAUSDT.csv,2024-09-02,0.0536,0.0564,0.0525,0.0559,21568250.0
ALPHAUSDT.csv,2024-09-03,0.0559,0.0578,0.0541,0.0542,12431620.0
ALPHAUSDT.csv,2024-09-04,0.0542,0.0559,0.0512,0.0543,18511902.0
ALPHAUSDT.csv,2024-09-05,0.0544,0.0545,0.0521,0.0526,11590639.0
ALPHAUSDT.csv,2024-09-06,0.0525,0.0541,0.0488,0.0506,21365018.0
ALPHAUSDT.csv,2024-09-07,0.0506,0.0524,0.0501,0.0519,6122804.0
ALPHAUSDT.csv,2024-09-08,0.0518,0.0543,0.0512,0.0538,9695509.0
ALPHAUSDT.csv,2024-09-09,0.0538,0.0566,0.0535,0.0561,16615012.0
ALPHAUSDT.csv,2024-09-10,0.056,0.0595,0.0554,0.0587,17281055.0
ALPHAUSDT.csv,2024-09-11,0.0587,0.0588,0.0546,0.0556,25253673.0
ALPHAUSDT.csv,2024-09-12,0.0556,0.0582,0.0556,0.0578,18765223.0
ALPHAUSDT.csv,2024-09-13,0.0578,0.0593,0.0567,0.0589,17812484.0
ALPHAUSDT.csv,2024-09-14,0.0588,0.0598,0.0582,0.0593,9472141.0
ALPHAUSDT.csv,2024-09-15,0.0593,0.0596,0.0558,0.0563,8258056.0
ALPHAUSDT.csv,2024-09-16,0.0563,0.0564,0.0527,0.0534,33091197.0
ALPHAUSDT.csv,2024-09-17,0.0535,0.056,0.0529,0.056,19878132.0
ALPHAUSDT.csv,2024-09-18,0.056,0.0592,0.0545,0.0592,27150236.0
ANKRUSDT.csv,2024-09-01,0.02379,0.02388,0.02272,0.02291,46314028.6
ANKRUSDT.csv,2024-09-02,0.0229,0.02425,0.02284,0.02411,56597962.9
ANKRUSDT.csv,2024-09-03,0.02412,0.02445,0.02304,0.02315,28142536.3
ANKRUSDT.csv,2024-09-04,0.02315,0.02378,0.02193,0.02332,75326479.3
ANKRUSDT.csv,2024-09-05,0.02332,0.02352,0.02228,0.02252,70254077.7
ANKRUSDT.csv,2024-09-06,0.02251,0.02316,0.02094,0.0219,84017545.4
ANKRUSDT.csv,2024-09-07,0.02191,0.02249,0.02169,0.02198,30113641.1
ANKRUSDT.csv,2024-09-08,0.02199,0.02287,0.02178,0.02261,40329784.3
ANKRUSDT.csv,2024-09-09,0.02261,0.0244,0.02253,0.02401,235612411.0
ANKRUSDT.csv,2024-09-10,0.02403,0.02459,0.02353,0.02409,71904178.3
ANKRUSDT.csv,2024-09-11,0.02411,0.02442,0.0232,0.02435,60732537.4
ANKRUSDT.csv,2024-09-12,0.02436,0.0255,0.02431,0.02535,103162160.3
ANKRUSDT.csv,2024-09-13,0.02535,0.02584,0.02509,0.0257,77711775.9
ANKRUSDT.csv,2024-09-14,0.0257,0.02586,0.02516,0.02535,49246243.6
ANKRUSDT.csv,2024-09-15,0.02535,0.0257,0.02459,0.02482,56447366.9
ANKRUSDT.csv,2024-09-16,0.02482,0.02545,0.0242,0.02449,69190261.1
ANKRUSDT.csv,2024-09-17,0.02449,0.02552,0.02409,0.02533,54526071.9
ANKRUSDT.csv,2024-09-18,0.02536,0.02629,0.02454,0.02629,68217052.8
APTUSDT.csv,2024-09-01,6.48,6.52,6.09,6.17,2290934.54
APTUSDT.csv,2024-09-02,6.16,6.46,6.11,6.35,2874195.22
APTUSDT.csv,2024-09-03,6.36,6.48,6.06,6.13,2306737.95
APTUSDT.csv,2024-09-04,6.13,6.33,5.83,6.12,2200880.87
APTUSDT.csv,2024-09-05,6.12,6.15,5.67,5.78,2846823.26
APTUSDT.csv,2024-09-06,5.78,5.92,5.48,5.7,4009354.39
APTUSDT.csv,2024-09-07,5.71,5.97,5.7,5.86,1379347.0
APTUSDT.csv,2024-09-08,5.85,6.11,5.8,6.04,2431800.15
APTUSDT.csv,2024-09-09,6.03,6.42,6.02,6.3,2220172.0
APTUSDT.csv,2024-09-10,6.3,6.34,6.1,6.28,2228236.08
APTUSDT.csv,2024-09-11,6.28,6.31,5.96,6.09,3036219.15
APTUSDT.csv,2024-09-12,6.09,6.24,6.04,6.18,2038046.13
APTUSDT.csv,2024-09-13,6.18,6.35,6.09,6.3,1640792.69
APTUSDT.csv,2024-09-14,6.3,6.36,5.98,6.06,1624488.79
APTUSDT.csv,2024-09-15,6.07,6.17,5.82,5.88,1599587.26
APTUSDT.csv,2024-09-16,5.87,5.89,5.66,5.75,1990780.29
APTUSDT.csv,2024-09-17,5.75,6.01,5.68,5.94,2670582.71
APTUSDT.csv,2024-09-18,5.94,6.23,5.7,6.22,3270407.46
ARBUSDT.csv,2024-09-01,0.5141,0.5145,0.484,0.49,35296124.8
ARBUSDT.csv,2024-09-02,0.4898,0.5223,0.4891,0.5164,40271673.3
ARBUSDT.csv,2024-09-03,0.5164,0.5212,0.4932,0.4943,37522028.0
ARBUSDT.csv,2024-09-04,0.4943,0.514,0.4671,0.4971,59525524.6
ARBUSDT.csv,2024-09-05,0.4971,0.5026,0.4895,0.4972,41024860.7
ARBUSDT.csv,2024-09-06,0.4971,0.5078,0.4685,0.4808,111376076.6
ARBUSDT.csv,2024-09-07,0.4807,0.5052,0.4798,0.5011,32413466.9
ARBUSDT.csv,2024-09-08,0.5011,0.5162,0.4966,0.5088,34014409.0
ARBUSDT.csv,2024-09-09,0.5087,0.5323,0.5054,0.524,43532307.8
ARBUSDT.csv,2024-09-10,0.5239,0.5444,0.5158,0.5335,46963074.2
ARBUSDT.csv,2024-09-11,0.5336,0.5343,0.5011,0.5144,58214290.0
ARBUSDT.csv,2024-09-12,0.5144,0.527,0.5106,0.5248,40200531.0
ARBUSDT.csv,2024-09-13,0.5249,0.5404,0.5161,0.5371,49050690.0
ARBUSDT.csv,2024-09-14,0.5371,0.5394,0.5249,0.5306,25610328.0
ARBUSDT.csv,2024-09-15,0.5306,0.5406,0.5084,0.511,43404902.7
ARBUSDT.csv,2024-09-16,0.5109,0.5172,0.4975,0.5107,48340207.0
ARBUSDT.csv,2024-09-17,0.5106,0.5308,0.5046,0.5222,52590694.7
ARBUSDT.csv,2024-09-18,0.5221,0.5295,0.501,0.5292,54836007.7
archivo_combinado.csv,2024-09-01,0.2388,0.2399,0.222,0.2252,6420143.9
archivo_combinado.csv,2024-09-02,0.2252,0.2371,0.223,0.2347,6984714.1
archivo_combinado.csv,2024-09-03,0.2347,0.2382,0.222,0.2225,5980786.8
archivo_combinado.csv,2024-09-04,0.2225,0.2919,0.2106,0.2772,106605050.8
archivo_combinado.csv,2024-09-05,0.2773,0.2834,0.2509,0.2547,52798370.3
archivo_combinado.csv,2024-09-06,0.2547,0.2617,0.2423,0.2577,42551514.8
archivo_combinado.csv,2024-09-07,0.2577,0.2633,0.2488,0.251,22415844.3
archivo_combinado.csv,2024-09-08,0.2509,0.2546,0.2454,0.251,17456232.5
archivo_combinado.csv,2024-09-09,0.251,0.2666,0.2457,0.2629,22165341.6
archivo_combinado.csv,2024-09-10,0.2631,0.2639,0.2556,0.26,13584880.7
archivo_combinado.csv,2024-09-11,0.2601,0.2604,0.24,0.2475,17313059.9
archivo_combinado.csv,2024-09-12,0.2474,0.2574,0.2464,0.2572,14190516.4
