Date,Open,High,Low,Close,Volume
2024-09-01,1.417,1.423,1.346,1.357,7032762.36
2024-09-02,1.357,1.426,1.34,1.408,8593270.84
2024-09-03,1.409,1.439,1.34,1.348,7263997.72
2024-09-04,1.349,1.381,1.271,1.348,12290921.13
2024-09-05,1.348,1.366,1.324,1.358,8677984.07
2024-09-06,1.358,1.384,1.289,1.337,20451288.5
2024-09-07,1.337,1.436,1.337,1.417,9288093.75
2024-09-08,1.417,1.473,1.393,1.418,12230800.84
2024-09-09,1.418,1.547,1.418,1.531,9875755.68
2024-09-10,1.531,1.636,1.522,1.61,11576584.95
2024-09-11,1.611,1.617,1.534,1.545,11892827.3
2024-09-12,1.546,1.574,1.51,1.539,10611460.06
2024-09-13,1.539,1.564,1.502,1.548,7473819.71
2024-09-14,1.549,1.574,1.528,1.568,5634672.48
2024-09-15,1.568,1.589,1.465,1.473,6994783.61
2024-09-16,1.473,1.502,1.431,1.452,8380234.65
2024-09-17,1.453,1.507,1.438,1.452,11107874.35
2024-09-18,1.453,1.514,1.408,1.512,11156922.11
