Date,Open,High,Low,Close,Volume
2024-09-01,1.124,1.143,1.073,1.085,727101.8
2024-09-02,1.085,1.147,1.057,1.146,360105.1
2024-09-03,1.146,1.164,1.092,1.095,502964.2
2024-09-04,1.096,1.105,1.014,1.065,1333706.1
2024-09-05,1.064,1.077,1.039,1.056,456620.5
2024-09-06,1.056,1.099,1.02,1.067,1274813.3
2024-09-07,1.067,1.094,1.057,1.065,390984.4
2024-09-08,1.067,1.088,1.057,1.071,295039.8
2024-09-09,1.071,1.141,1.07,1.129,381576.3
2024-09-10,1.129,1.15,1.115,1.144,325291.0
2024-09-11,1.144,1.154,1.1,1.142,732097.7
2024-09-12,1.142,1.16,1.118,1.137,898144.3
2024-09-13,1.137,1.194,1.119,1.19,691083.4
2024-09-14,1.19,1.247,1.178,1.191,940691.6
2024-09-15,1.191,1.235,1.181,1.191,498994.0
2024-09-16,1.191,1.204,1.155,1.178,868705.2
2024-09-17,1.18,1.235,1.165,1.224,776669.9
2024-09-18,1.225,1.272,1.197,1.242,1232262.3
