Date,Open,High,Low,Close,Volume
2024-09-01,0.3973,0.3981,0.377,0.38,1446819.06
2024-09-02,0.38,0.4005,0.3754,0.3996,1569797.46
2024-09-03,0.3999,0.4066,0.3731,0.3739,2043345.57
2024-09-04,0.3739,0.3922,0.3591,0.3892,2764339.99
2024-09-05,0.3891,0.3915,0.3738,0.3769,1822007.2
2024-09-06,0.3767,0.3867,0.3536,0.3644,3284183.53
2024-09-07,0.3643,0.3734,0.3623,0.3649,1179948.2
2024-09-08,0.3649,0.3761,0.3643,0.3751,1038911.16
2024-09-09,0.3752,0.3995,0.375,0.3958,1999338.43
2024-09-10,0.3958,0.4016,0.3916,0.3989,1531466.72
2024-09-11,0.3989,0.399,0.3848,0.3955,1712196.43
2024-09-12,0.3954,0.406,0.3945,0.4056,1879069.21
2024-09-13,0.4056,0.4201,0.4004,0.4193,1817608.01
2024-09-14,0.4194,0.4273,0.4134,0.4269,1856202.5
2024-09-15,0.4269,0.4635,0.4257,0.4455,7676402.73
2024-09-16,0.4455,0.4459,0.4175,0.4239,4089750.94
2024-09-17,0.4241,0.4904,0.421,0.4691,8150089.96
2024-09-18,0.4692,0.4919,0.4521,0.4916,6723074.74
