Date,Open,High,Low,Close,Volume
2024-09-01,7.6e-06,7.64e-06,7.06e-06,7.14e-06,13434534390703.0
2024-09-02,7.14e-06,7.7e-06,7.07e-06,7.62e-06,15867883282559.0
2024-09-03,7.61e-06,7.77e-06,7.24e-06,7.26e-06,11622079536686.0
2024-09-04,7.27e-06,7.53e-06,6.84e-06,7.35e-06,22387905167693.0
2024-09-05,7.36e-06,7.41e-06,7e-06,7.1e-06,11308329658126.0
2024-09-06,7.11e-06,7.28e-06,6.33e-06,6.65e-06,23776934439331.0
2024-09-07,6.65e-06,7.03e-06,6.64e-06,6.77e-06,13494155019632.0
2024-09-08,6.77e-06,7.41e-06,6.7e-06,7.07e-06,17456685657848.0
2024-09-09,7.08e-06,7.61e-06,6.94e-06,7.38e-06,21404330033392.0
2024-09-10,7.39e-06,7.56e-06,7.28e-06,7.46e-06,18520744244221.0
2024-09-11,7.47e-06,7.47e-06,6.97e-06,7.24e-06,20894540166619.0
2024-09-12,7.24e-06,7.5e-06,7.21e-06,7.42e-06,14334274999080.0
2024-09-13,7.42e-06,8.06e-06,7.3e-06,7.91e-06,17937447972613.0
2024-09-14,7.9e-06,7.95e-06,7.63e-06,7.76e-06,10935531850164.0
2024-09-15,7.75e-06,7.83e-06,7.3e-06,7.35e-06,10350387033192.0
2024-09-16,7.36e-06,7.39e-06,7.06e-06,7.2e-06,17402331398461.0
2024-09-17,7.2e-06,7.65e-06,7.11e-06,7.33e-06,20301556088603.0
2024-09-18,7.33e-06,7.55e-06,6.99e-06,7.53e-06,24530911000973.0
