Date,Open,High,Low,Close,Volume
2024-09-01,0.1089,0.1245,0.1059,0.1147,50426322.0
2024-09-02,0.1146,0.1154,0.1084,0.1138,24385377.0
2024-09-03,0.1138,0.12,0.1089,0.1098,24964801.0
2024-09-04,0.1098,0.1151,0.1056,0.1091,20121216.0
2024-09-05,0.1091,0.1103,0.1039,0.1055,12460132.0
2024-09-06,0.1052,0.1125,0.1006,0.1038,31933844.0
2024-09-07,0.1037,0.1078,0.1028,0.1041,7822775.0
2024-09-08,0.1043,0.1071,0.1026,0.1063,7326930.0
2024-09-09,0.1063,0.113,0.1048,0.1098,20634657.0
2024-09-10,0.1098,0.1155,0.1091,0.1107,16525946.0
2024-09-11,0.1105,0.1107,0.1053,0.1085,10934326.0
2024-09-12,0.1085,0.1103,0.1039,0.1081,10185790.0
2024-09-13,0.1083,0.1117,0.1059,0.1113,8929896.0
2024-09-14,0.1114,0.1115,0.108,0.1095,6212274.0
2024-09-15,0.1095,0.1117,0.1037,0.1043,7258399.0
2024-09-16,0.1043,0.1058,0.1005,0.1028,8628714.0
2024-09-17,0.1027,0.1057,0.1014,0.103,7658169.0
2024-09-18,0.1032,0.1056,0.0981,0.1055,10175584.0
