Date,Open,High,Low,Close,Volume
2024-09-01,1.213,1.219,1.12,1.138,1521249.9
2024-09-02,1.137,1.238,1.131,1.23,1784671.3
2024-09-03,1.23,1.245,1.141,1.143,1636416.4
2024-09-04,1.143,1.205,1.076,1.177,2373311.9
2024-09-05,1.177,1.184,1.118,1.13,1153768.9
2024-09-06,1.13,1.173,1.036,1.086,2643086.9
2024-09-07,1.087,1.112,1.074,1.088,1604088.1
2024-09-08,1.086,1.144,1.085,1.115,1810736.6
2024-09-09,1.115,1.215,1.114,1.19,2828084.2
2024-09-10,1.189,1.236,1.181,1.216,1814839.1
2024-09-11,1.216,1.217,1.15,1.192,2106664.2
2024-09-12,1.194,1.254,1.194,1.243,2101314.9
2024-09-13,1.243,1.281,1.217,1.265,2366390.8
2024-09-14,1.265,1.276,1.24,1.269,1031216.2
2024-09-15,1.269,1.276,1.176,1.187,1318009.3
2024-09-16,1.188,1.201,1.141,1.164,1566482.5
2024-09-17,1.163,1.236,1.149,1.221,1788824.8
2024-09-18,1.221,1.327,1.204,1.325,3392264.4
