Date,Open,High,Low,Close,Volume
2024-09-01,0.187,0.1871,0.1775,0.1792,3650643.0
2024-09-02,0.1792,0.1891,0.1787,0.1881,5520698.0
2024-09-03,0.1882,0.1919,0.1803,0.1806,2974137.0
2024-09-04,0.1806,0.1873,0.1707,0.1846,4138204.0
2024-09-05,0.1847,0.1857,0.1755,0.1769,2424004.0
2024-09-06,0.177,0.1832,0.1669,0.1737,4379464.0
2024-09-07,0.1735,0.1781,0.1719,0.1761,2274066.0
2024-09-08,0.1761,0.1814,0.1754,0.1797,3032271.0
2024-09-09,0.1797,0.1914,0.1797,0.1895,7976777.0
2024-09-10,0.1895,0.195,0.1866,0.1926,3088178.0
2024-09-11,0.1927,0.1942,0.1873,0.1925,2765090.0
2024-09-12,0.1926,0.1961,0.1909,0.1955,2529231.0
2024-09-13,0.1954,0.1984,0.1926,0.1968,3026154.0
2024-09-14,0.1967,0.2006,0.1914,0.1932,3871694.0
2024-09-15,0.1934,0.1949,0.1861,0.1881,2399979.0
2024-09-16,0.1879,0.1967,0.1855,0.1876,8456865.0
2024-09-17,0.1876,0.1957,0.1871,0.1928,4384769.0
2024-09-18,0.1928,0.1966,0.1835,0.1957,6364035.0
