Date,Open,High,Low,Close,Volume
2024-09-01,5.282,5.341,5.125,5.157,71168.41
2024-09-02,5.151,5.425,5.09,5.366,79518.31
2024-09-03,5.365,5.475,5.147,5.233,119099.08
2024-09-04,5.233,5.307,5.0,5.125,202099.68
2024-09-05,5.127,5.165,4.867,4.933,88177.74
2024-09-06,4.93,5.102,4.841,4.91,113117.01
2024-09-07,4.909,5.075,4.874,5.026,67644.98
2024-09-08,5.03,5.19,4.964,5.124,61584.66
2024-09-09,5.127,5.43,5.123,5.399,83041.4
2024-09-10,5.4,5.586,5.333,5.541,72172.23
2024-09-11,5.541,5.548,5.041,5.204,175687.6
2024-09-12,5.203,5.317,5.094,5.211,74310.92
2024-09-13,5.212,5.345,5.082,5.281,87629.24
2024-09-14,5.28,5.307,5.167,5.265,46450.35
2024-09-15,5.264,5.301,4.97,4.999,57417.32
2024-09-16,4.997,5.022,4.739,4.826,74427.92
2024-09-17,4.826,5.124,4.793,5.029,70512.3
2024-09-18,5.036,5.18,4.85,5.18,51113.65
