Date,Open,High,Low,Close,Volume
2024-09-01,0.3852,0.3901,0.3644,0.3669,1691139.9
2024-09-02,0.3669,0.3824,0.3636,0.3809,2104503.5
2024-09-03,0.3809,0.3824,0.3595,0.3638,1445257.2
2024-09-04,0.3634,0.3722,0.3466,0.3689,1998429.4
2024-09-05,0.3689,0.3759,0.3568,0.3587,1260910.0
2024-09-06,0.3583,0.3669,0.3407,0.3529,2010428.4
2024-09-07,0.3532,0.3611,0.3515,0.3572,686767.6
2024-09-08,0.3567,0.3669,0.3548,0.3627,1281618.1
2024-09-09,0.3627,0.3781,0.3619,0.3777,1130063.8
2024-09-10,0.3775,0.384,0.3754,0.3807,1301097.5
2024-09-11,0.3807,0.381,0.3692,0.3792,1283469.7
2024-09-12,0.3794,0.3837,0.3779,0.3828,1145909.9
2024-09-13,0.3832,0.3915,0.3804,0.3906,1311662.4
2024-09-14,0.3906,0.3908,0.3825,0.3856,1070574.0
2024-09-15,0.3857,0.3864,0.3631,0.3675,1881704.1
2024-09-16,0.3676,0.3818,0.361,0.3664,2935030.5
2024-09-17,0.3662,0.3846,0.3662,0.374,2995024.5
2024-09-18,0.374,0.3952,0.3633,0.3806,3729394.1
