Date,Open,High,Low,Close,Volume
2024-09-01,2.577,2.707,2.468,2.492,617639.407
2024-09-02,2.491,2.77,2.467,2.611,503790.358
2024-09-03,2.613,2.654,2.449,2.47,353675.673
2024-09-04,2.467,2.549,2.331,2.526,429285.353
2024-09-05,2.526,2.539,2.438,2.456,234620.995
2024-09-06,2.456,2.484,2.294,2.362,361550.695
2024-09-07,2.363,2.455,2.33,2.408,233260.714
2024-09-08,2.408,2.494,2.391,2.456,174140.035
2024-09-09,2.453,2.627,2.444,2.589,371318.289
2024-09-10,2.59,2.69,2.573,2.653,343063.507
2024-09-11,2.655,2.685,2.501,2.589,347955.78
2024-09-12,2.592,2.65,2.581,2.631,231459.529
2024-09-13,2.63,2.75,2.595,2.72,350449.275
2024-09-14,2.72,2.744,2.678,2.705,139128.776
2024-09-15,2.704,2.767,2.516,2.524,410735.44
2024-09-16,2.519,2.57,2.447,2.467,298643.694
2024-09-17,2.466,2.603,2.443,2.568,321988.413
2024-09-18,2.571,2.651,2.438,2.648,298492.586
