Date,Open,High,Low,Close,Volume
2024-09-01,4.998,5.165,4.801,4.82,3681883.4
2024-09-02,4.82,5.154,4.776,5.089,3494916.85
2024-09-03,5.089,5.206,4.7,4.709,2834078.26
2024-09-04,4.709,5.051,4.53,4.92,3187861.8
2024-09-05,4.92,4.959,4.627,4.677,2975989.98
2024-09-06,4.678,4.942,4.439,4.68,3966618.79
2024-09-07,4.68,4.893,4.664,4.714,2034756.93
2024-09-08,4.716,4.942,4.705,4.873,2478996.17
2024-09-09,4.872,5.258,4.794,5.165,4677128.16
2024-09-10,5.166,5.35,5.003,5.267,4149746.58
2024-09-11,5.266,5.287,4.801,5.088,4451571.46
2024-09-12,5.089,5.324,5.088,5.244,4540581.62
2024-09-13,5.244,5.348,4.977,5.233,4473021.37
2024-09-14,5.233,5.385,5.185,5.236,2749376.3
2024-09-15,5.235,5.331,4.895,4.945,3088098.06
2024-09-16,4.944,4.999,4.675,4.739,3679447.97
2024-09-17,4.738,4.965,4.658,4.767,5114771.48
2024-09-18,4.767,4.993,4.595,4.989,4306158.64
