Date,Open,High,Low,Close,Volume
2024-09-01,0.1005,0.1015,0.0958,0.0968,4578797.0
2024-09-02,0.0968,0.1029,0.0961,0.1029,3522644.0
2024-09-03,0.1029,0.1043,0.0977,0.0979,4396526.0
2024-09-04,0.0979,0.1024,0.095,0.1008,3763276.0
2024-09-05,0.101,0.1014,0.0968,0.0975,3308270.0
2024-09-06,0.0974,0.0997,0.0921,0.0949,3828181.0
2024-09-07,0.0947,0.098,0.0939,0.0966,2448509.0
2024-09-08,0.0967,0.0994,0.0957,0.0983,2886344.0
2024-09-09,0.0983,0.1025,0.0976,0.1017,3186050.0
2024-09-10,0.1016,0.1042,0.1011,0.1036,2240221.0
2024-09-11,0.1035,0.1037,0.0986,0.1004,2905477.0
2024-09-12,0.1004,0.1026,0.1004,0.102,1974321.0
2024-09-13,0.102,0.1057,0.1009,0.1052,3211070.0
2024-09-14,0.1052,0.1056,0.1032,0.104,2348800.0
2024-09-15,0.104,0.1048,0.0992,0.0992,2950286.0
2024-09-16,0.0992,0.0996,0.0949,0.0964,3509961.0
2024-09-17,0.0964,0.1006,0.096,0.099,2004526.0
2024-09-18,0.0991,0.101,0.0959,0.101,2773842.0
