Date,Open,High,Low,Close,Volume
2024-09-01,0.0372,0.0373,0.0345,0.0349,87793957.5
2024-09-02,0.0349,0.0375,0.0347,0.0369,90105207.1
2024-09-03,0.0369,0.0377,0.0342,0.0343,69815131.1
2024-09-04,0.0343,0.0359,0.0316,0.0352,172476327.7
2024-09-05,0.0352,0.0358,0.0338,0.0343,120752261.1
2024-09-06,0.0342,0.0362,0.0315,0.033,146627397.7
2024-09-07,0.033,0.0348,0.0328,0.0336,65595535.2
2024-09-08,0.0336,0.0353,0.0327,0.0344,79787069.2
2024-09-09,0.0345,0.0371,0.0339,0.0365,148029501.9
2024-09-10,0.0365,0.037,0.0357,0.036,76928610.6
2024-09-11,0.036,0.0361,0.0324,0.0338,209045051.5
2024-09-12,0.0338,0.0371,0.0337,0.0368,192816220.8
2024-09-13,0.0368,0.0372,0.0352,0.0368,150721203.5
2024-09-14,0.0368,0.0375,0.0356,0.0368,110594597.1
2024-09-15,0.0367,0.0371,0.034,0.0345,164668430.5
2024-09-16,0.0344,0.0351,0.0318,0.0324,198591782.3
2024-09-17,0.0323,0.0367,0.0314,0.0358,254132258.7
2024-09-18,0.0358,0.0389,0.0352,0.0388,308291513.6
