Date,Open,High,Low,Close,Volume
2024-09-01,0.0752,0.0754,0.0703,0.0713,11039593.0
2024-09-02,0.0713,0.0773,0.0711,0.0764,9595023.0
2024-09-03,0.0765,0.0781,0.0742,0.0742,19676675.0
2024-09-04,0.0743,0.0782,0.0702,0.0767,13654649.0
2024-09-05,0.0766,0.0775,0.0732,0.0738,9438387.0
2024-09-06,0.0738,0.0761,0.0676,0.0702,19740281.0
2024-09-07,0.0701,0.0736,0.0695,0.072,7951611.0
2024-09-08,0.0721,0.0762,0.0719,0.0744,8670364.0
2024-09-09,0.0745,0.0798,0.0745,0.0784,10534424.0
2024-09-10,0.0785,0.0816,0.0777,0.0811,7330788.0
2024-09-11,0.081,0.0817,0.0777,0.0809,11717795.0
2024-09-12,0.081,0.0901,0.081,0.0893,29531378.0
2024-09-13,0.0894,0.0926,0.0874,0.0919,36627546.0
2024-09-14,0.092,0.0933,0.0898,0.0912,8685129.0
2024-09-15,0.0911,0.0916,0.0861,0.0873,7879115.0
2024-09-16,0.0872,0.0874,0.079,0.0803,12099801.0
2024-09-17,0.0802,0.0895,0.0797,0.088,16323208.0
2024-09-18,0.088,0.0966,0.0851,0.0964,25929185.0
