Date,Open,High,Low,Close,Volume
2024-09-01,3.925,4.04,3.784,3.823,6434211.4
2024-09-02,3.822,3.969,3.746,3.913,8711815.5
2024-09-03,3.914,4.183,3.847,3.861,9832361.1
2024-09-04,3.861,3.934,3.598,3.739,9952180.0
2024-09-05,3.739,3.766,3.528,3.578,6421744.3
2024-09-06,3.578,3.69,3.299,3.447,9448320.4
2024-09-07,3.445,3.626,3.445,3.515,3599005.9
2024-09-08,3.515,3.616,3.467,3.569,4155323.1
2024-09-09,3.569,3.913,3.558,3.839,8451893.9
2024-09-10,3.84,4.11,3.791,4.042,6723201.8
2024-09-11,4.042,4.127,3.861,3.959,11799575.9
2024-09-12,3.959,4.093,3.793,3.918,10347733.7
2024-09-13,3.918,4.188,3.828,4.132,10611323.8
2024-09-14,4.133,4.176,3.959,4.0,4224891.5
2024-09-15,4.0,4.186,3.895,3.946,8460982.7
2024-09-16,3.946,4.056,3.794,3.859,10255124.4
2024-09-17,3.859,4.154,3.801,4.038,8724812.4
2024-09-18,4.04,4.314,3.813,4.308,9953558.6
