Date,Open,High,Low,Close,Volume
2024-09-01,1.2635,1.2728,1.1589,1.1624,8380015.4
2024-09-02,1.1622,1.2907,1.1493,1.2682,10583105.2
2024-09-03,1.2674,1.31,1.174,1.1776,9012884.1
2024-09-04,1.1772,1.346,1.0614,1.3,20577076.3
2024-09-05,1.3,1.3503,1.278,1.3081,15608897.1
2024-09-06,1.3083,1.4433,1.2534,1.3016,21438391.4
2024-09-07,1.3014,1.45,1.3007,1.4002,14236177.9
2024-09-08,1.4003,1.4943,1.352,1.3868,13888619.3
2024-09-09,1.3868,1.5492,1.3286,1.5142,17678263.0
2024-09-10,1.5146,1.5406,1.4535,1.4845,11055381.3
2024-09-11,1.4846,1.4881,1.3301,1.3601,12718857.9
2024-09-12,1.3601,1.4214,1.34,1.378,12262149.5
2024-09-13,1.3781,1.4708,1.3034,1.4475,13138038.4
2024-09-14,1.4476,1.631,1.4476,1.5428,20231688.2
2024-09-15,1.5428,1.5993,1.4321,1.4507,9782089.8
2024-09-16,1.4507,1.654,1.421,1.5635,21436767.1
2024-09-17,1.5635,2.0536,1.5081,1.9347,37920545.3
2024-09-18,1.9341,2.2172,1.8959,2.145,37443898.0
