Date,Open,High,Low,Close,Volume
2024-09-01,0.2516,0.2527,0.2345,0.2354,11090474.0
2024-09-02,0.2353,0.2536,0.2342,0.2504,17183750.0
2024-09-03,0.2503,0.2548,0.241,0.2418,9177219.0
2024-09-04,0.2418,0.2544,0.2292,0.2501,15683348.0
2024-09-05,0.25,0.2515,0.2414,0.2438,7804881.0
2024-09-06,0.2436,0.2495,0.2263,0.2349,29010448.0
2024-09-07,0.2348,0.2435,0.2337,0.2395,5985931.0
2024-09-08,0.2396,0.2481,0.2385,0.2445,5411702.0
2024-09-09,0.2448,0.2579,0.2436,0.2543,8700121.0
2024-09-10,0.2543,0.2573,0.2497,0.2545,8293941.0
2024-09-11,0.2546,0.2556,0.2438,0.2543,8548518.0
2024-09-12,0.2542,0.26,0.2533,0.2596,9602485.0
2024-09-13,0.2597,0.2638,0.2557,0.2611,13073001.0
2024-09-14,0.2611,0.2614,0.2518,0.2552,11882486.0
2024-09-15,0.2552,0.2573,0.2431,0.2453,7859103.0
2024-09-16,0.2452,0.2488,0.2396,0.2426,7700181.0
2024-09-17,0.2426,0.255,0.2398,0.2519,9018186.0
2024-09-18,0.2518,0.2574,0.2415,0.257,11888423.0
