Date,Open,High,Low,Close,Volume
2024-09-01,2.62,2.69,2.509,2.529,532516.6
2024-09-02,2.528,2.654,2.526,2.635,204753.24
2024-09-03,2.639,2.682,2.536,2.539,455911.79
2024-09-04,2.541,2.64,2.46,2.599,366362.29
2024-09-05,2.597,2.611,2.513,2.531,213690.0
2024-09-06,2.531,2.624,2.47,2.538,798678.95
2024-09-07,2.539,2.559,2.507,2.533,172493.03
2024-09-08,2.533,2.587,2.526,2.559,153441.8
2024-09-09,2.562,2.627,2.538,2.601,391398.6
2024-09-10,2.601,2.639,2.572,2.638,241887.84
2024-09-11,2.633,2.636,2.523,2.569,250302.21
2024-09-12,2.569,2.609,2.559,2.59,182077.23
2024-09-13,2.594,2.662,2.566,2.648,221802.83
2024-09-14,2.648,2.678,2.632,2.661,142043.08
2024-09-15,2.661,2.678,2.548,2.551,123339.01
2024-09-16,2.548,2.59,2.474,2.5,156161.71
2024-09-17,2.498,2.592,2.478,2.558,117429.37
2024-09-18,2.561,2.612,2.479,2.612,177300.74
