Date,Open,High,Low,Close,Volume
2024-09-01,0.3587,0.3596,0.3346,0.3378,3820393.0
2024-09-02,0.3375,0.3591,0.3339,0.3563,3474080.0
2024-09-03,0.3562,0.3636,0.3351,0.3359,4334635.0
2024-09-04,0.336,0.3487,0.3183,0.3419,3685130.0
2024-09-05,0.3419,0.3451,0.3248,0.3286,3352070.0
2024-09-06,0.3288,0.3433,0.3099,0.3231,5506580.0
2024-09-07,0.3237,0.3365,0.3209,0.3302,2326221.0
2024-09-08,0.33,0.344,0.3285,0.3394,1939436.0
2024-09-09,0.3392,0.3604,0.3353,0.3572,8560611.0
2024-09-10,0.3573,0.365,0.3511,0.3579,3928898.0
2024-09-11,0.3578,0.3585,0.3414,0.354,3196377.0
2024-09-12,0.354,0.3648,0.3521,0.3645,3232616.0
2024-09-13,0.3646,0.3726,0.358,0.3707,3167530.0
2024-09-14,0.3706,0.3712,0.3572,0.3622,1511425.0
2024-09-15,0.3621,0.3943,0.3553,0.3765,13093285.0
2024-09-16,0.3764,0.4066,0.3622,0.3671,35304423.0
2024-09-17,0.3671,0.3803,0.3634,0.3723,6764952.0
2024-09-18,0.3724,0.379,0.3479,0.3757,9342011.0
