Date,Open,High,Low,Close,Volume
2024-09-01,0.356,0.375,0.346,0.357,22862405.6
2024-09-02,0.356,0.382,0.344,0.38,39742319.75
2024-09-03,0.38,0.386,0.361,0.361,18324587.43
2024-09-04,0.361,0.42,0.34,0.402,90774160.13
2024-09-05,0.401,0.413,0.388,0.394,37281830.57
2024-09-06,0.394,0.412,0.378,0.401,89982795.82
2024-09-07,0.402,0.447,0.4,0.428,90819690.87
2024-09-08,0.428,0.444,0.418,0.435,52585926.51
2024-09-09,0.434,0.438,0.408,0.432,54367871.74
2024-09-10,0.433,0.434,0.388,0.4,73451840.77
2024-09-11,0.399,0.4,0.375,0.384,62571784.36
2024-09-12,0.384,0.403,0.384,0.403,35016783.16
2024-09-13,0.403,0.414,0.392,0.409,35274751.37
2024-09-14,0.41,0.412,0.392,0.4,23213470.55
2024-09-15,0.4,0.408,0.382,0.389,26101122.29
2024-09-16,0.389,0.391,0.365,0.37,30962484.99
2024-09-17,0.37,0.386,0.367,0.379,31554612.18
2024-09-18,0.379,0.391,0.364,0.39,42437023.82
