Date,Open,High,Low,Close,Volume
2024-09-01,0.4577,0.4588,0.4251,0.434,4000120.7
2024-09-02,0.4335,0.4588,0.4317,0.4534,3509497.1
2024-09-03,0.4534,0.4596,0.4203,0.4217,3546020.5
2024-09-04,0.4214,0.431,0.3911,0.4176,5043765.0
2024-09-05,0.4176,0.4196,0.3958,0.401,1874420.7
2024-09-06,0.4008,0.4139,0.3658,0.3849,6068030.9
2024-09-07,0.3853,0.405,0.3808,0.3956,2213302.0
2024-09-08,0.3956,0.4496,0.3953,0.4464,18034198.5
2024-09-09,0.4461,0.4509,0.4259,0.4422,8217141.9
2024-09-10,0.4424,0.4426,0.4261,0.4294,4001818.7
2024-09-11,0.4296,0.4346,0.4078,0.4261,4068027.1
2024-09-12,0.4261,0.4405,0.4213,0.4402,4024061.4
2024-09-13,0.4402,0.5245,0.4375,0.5102,39883906.8
2024-09-14,0.5102,0.5231,0.486,0.4871,8084239.0
2024-09-15,0.487,0.5057,0.4656,0.4712,6980507.4
2024-09-16,0.4712,0.4728,0.4286,0.4409,9548042.0
2024-09-17,0.4411,0.4682,0.4328,0.4517,7710656.7
2024-09-18,0.4517,0.4731,0.4273,0.4722,4126750.9
