Date,Open,High,Low,Close,Volume
2024-09-01,281.2,281.9,261.2,263.7,44675.4052
2024-09-02,263.6,285.6,263.4,280.2,45314.5459
2024-09-03,280.3,287.2,247.4,247.6,58086.2575
2024-09-04,247.7,267.5,238.3,255.6,87841.4047
2024-09-05,255.5,258.8,236.3,237.7,61582.1481
2024-09-06,237.7,250.1,219.6,231.5,114781.1087
2024-09-07,231.5,246.5,231.2,235.1,67207.5074
2024-09-08,235.0,254.2,234.0,246.0,56038.5022
2024-09-09,246.1,283.8,245.7,277.1,96551.8018
2024-09-10,277.1,295.0,273.1,287.4,59091.7091
2024-09-11,287.5,298.9,272.9,284.0,102799.2019
2024-09-12,284.2,298.0,280.6,293.3,73210.5774
2024-09-13,293.3,321.2,284.4,320.3,84700.7285
2024-09-14,320.1,329.8,310.5,326.9,73055.6198
2024-09-15,327.0,336.8,301.3,302.0,71103.9149
2024-09-16,302.1,308.5,282.5,288.3,118672.5935
2024-09-17,288.4,335.0,282.2,323.9,135600.3012
2024-09-18,324.0,340.3,306.4,337.6,135645.744
