Date,Open,High,Low,Close,Volume
2024-09-01,1.2,1.206,1.132,1.149,2632615.8
2024-09-02,1.148,1.202,1.146,1.188,2033715.5
2024-09-03,1.187,1.209,1.127,1.131,2258517.4
2024-09-04,1.132,1.17,1.071,1.149,3394330.0
2024-09-05,1.148,1.155,1.096,1.108,2206282.7
2024-09-06,1.107,1.15,1.05,1.093,4175682.6
2024-09-07,1.093,1.163,1.093,1.125,2386754.2
2024-09-08,1.125,1.182,1.113,1.16,2000928.7
2024-09-09,1.16,1.217,1.15,1.189,2875605.5
2024-09-10,1.189,1.227,1.179,1.208,1876985.1
2024-09-11,1.208,1.208,1.151,1.186,2270215.6
2024-09-12,1.187,1.218,1.181,1.199,2550827.3
2024-09-13,1.198,1.302,1.191,1.295,7149970.1
2024-09-14,1.295,1.336,1.278,1.295,4065059.6
2024-09-15,1.295,1.35,1.294,1.295,3714300.8
2024-09-16,1.295,1.384,1.276,1.311,5378338.1
2024-09-17,1.311,1.341,1.267,1.299,3223890.4
2024-09-18,1.298,1.402,1.254,1.392,3766612.2
