Date,Open,High,Low,Close,Volume
2024-09-01,4.488,4.521,4.168,4.233,2388439.45
2024-09-02,4.232,4.547,4.203,4.474,2820303.37
2024-09-03,4.475,4.558,4.033,4.052,2656673.74
2024-09-04,4.054,4.375,3.869,4.155,5013711.63
2024-09-05,4.156,4.213,3.985,4.044,3596618.48
2024-09-06,4.044,4.198,3.722,3.909,5182547.97
2024-09-07,3.909,4.031,3.865,3.946,2026258.98
2024-09-08,3.946,4.104,3.904,4.064,2436380.12
2024-09-09,4.065,4.375,4.058,4.26,4762926.81
2024-09-10,4.26,4.288,4.107,4.232,3316545.43
2024-09-11,4.233,4.248,3.883,4.112,4464122.13
2024-09-12,4.113,4.335,4.096,4.241,4457007.61
2024-09-13,4.24,4.593,4.068,4.504,4660348.62
2024-09-14,4.504,4.693,4.315,4.654,6205923.4
2024-09-15,4.654,5.12,4.608,4.8,8786532.06
2024-09-16,4.798,4.811,4.478,4.536,4627627.92
2024-09-17,4.535,5.291,4.522,5.227,8742010.32
2024-09-18,5.227,5.471,4.999,5.404,9607232.88
