Date,Open,High,Low,Close,Volume
2024-09-01,0.308,0.3161,0.284,0.2882,8932176.3
2024-09-02,0.2881,0.3184,0.2865,0.3139,5859902.7
2024-09-03,0.3138,0.3252,0.3035,0.3046,6799079.1
2024-09-04,0.3048,0.3242,0.2867,0.3177,7760800.1
2024-09-05,0.3177,0.3276,0.3089,0.3152,6052945.5
2024-09-06,0.3151,0.3318,0.2918,0.3054,8034401.0
2024-09-07,0.3054,0.3299,0.304,0.3142,6299320.6
2024-09-08,0.3143,0.3472,0.3136,0.3359,7724689.7
2024-09-09,0.3363,0.3479,0.3259,0.3393,8734091.4
2024-09-10,0.3398,0.3466,0.33,0.3388,6316415.1
2024-09-11,0.3387,0.3394,0.3069,0.3162,8200139.1
2024-09-12,0.316,0.3471,0.316,0.343,6898448.0
2024-09-13,0.3432,0.3602,0.3372,0.3553,13290122.1
2024-09-14,0.3554,0.3668,0.3449,0.3464,4832023.5
2024-09-15,0.3467,0.3584,0.3258,0.3299,5742176.3
2024-09-16,0.3296,0.3389,0.3117,0.3163,5322022.5
2024-09-17,0.3163,0.3649,0.3125,0.3599,13264891.9
2024-09-18,0.3601,0.3765,0.3397,0.3749,9436357.2
