Date,Open,High,Low,Close,Volume
2024-09-01,5.421,5.457,5.15,5.184,5536725.88
2024-09-02,5.183,5.247,5.08,5.219,6423709.68
2024-09-03,5.218,5.3,4.856,4.889,9832501.86
2024-09-04,4.889,4.925,4.555,4.625,14987366.99
2024-09-05,4.626,4.917,4.514,4.81,12461262.85
2024-09-06,4.81,4.91,4.444,4.656,12762687.84
2024-09-07,4.658,4.691,4.59,4.67,4853905.83
2024-09-08,4.67,4.945,4.646,4.896,7344011.31
2024-09-09,4.896,5.27,4.871,5.219,10281667.78
2024-09-10,5.219,5.56,5.168,5.529,7959478.41
2024-09-11,5.529,5.553,5.155,5.389,9563103.03
2024-09-12,5.39,5.695,5.34,5.583,9342600.15
2024-09-13,5.584,5.887,5.477,5.781,9479540.54
2024-09-14,5.781,5.838,5.648,5.676,4609061.31
2024-09-15,5.676,5.763,5.514,5.554,6548849.59
2024-09-16,5.554,5.602,5.366,5.485,6279830.51
2024-09-17,5.485,5.596,5.405,5.522,7416001.28
2024-09-18,5.522,5.645,5.425,5.641,5724820.2
