Date,Open,High,Low,Close,Volume
2024-09-01,0.1576,0.1578,0.1549,0.1556,303613825.4
2024-09-02,0.1556,0.1569,0.1538,0.1542,316055134.5
2024-09-03,0.1542,0.1547,0.1503,0.1503,339700635.7
2024-09-04,0.1504,0.1521,0.1489,0.15,465789486.6
2024-09-05,0.15,0.1513,0.1491,0.1498,276912305.3
2024-09-06,0.1499,0.1503,0.1466,0.1478,338578886.8
2024-09-07,0.1478,0.1521,0.1478,0.1515,264390363.0
2024-09-08,0.1516,0.1534,0.1511,0.1532,303861845.3
2024-09-09,0.1532,0.155,0.1531,0.1546,295736960.0
2024-09-10,0.1546,0.1546,0.1521,0.1531,258345122.2
2024-09-11,0.153,0.1534,0.1518,0.1534,257574213.4
2024-09-12,0.1533,0.1543,0.1519,0.152,301552029.8
2024-09-13,0.1519,0.152,0.1485,0.149,322624966.1
2024-09-14,0.149,0.149,0.147,0.1475,246052654.7
2024-09-15,0.1475,0.1495,0.147,0.149,241939535.5
2024-09-16,0.1489,0.1496,0.1478,0.1489,276967820.3
2024-09-17,0.1489,0.1513,0.1488,0.15,221301382.2
2024-09-18,0.15,0.1503,0.149,0.1496,206401228.8
