Date,Open,High,Low,Close,Volume
2024-09-01,0.8481,0.8513,0.8015,0.8058,1568099.0
2024-09-02,0.8055,0.8447,0.7984,0.8399,888356.0
2024-09-03,0.8396,0.8534,0.8099,0.8105,775250.0
2024-09-04,0.8106,0.839,0.765,0.8229,1729025.0
2024-09-05,0.8226,0.8371,0.8132,0.8245,1078973.0
2024-09-06,0.8247,0.8324,0.766,0.7901,2592614.0
2024-09-07,0.79,0.811,0.7852,0.8005,1071393.0
2024-09-08,0.8006,0.8247,0.7962,0.8116,1098005.0
2024-09-09,0.8123,0.8497,0.8094,0.8451,1383389.0
2024-09-10,0.8448,0.8625,0.8404,0.8477,1078827.0
2024-09-11,0.8478,0.849,0.8208,0.839,1539192.0
2024-09-12,0.8389,0.9745,0.8389,0.9688,10151952.0
2024-09-13,0.9688,0.9717,0.9181,0.9359,6738956.0
2024-09-14,0.9359,0.9619,0.912,0.9556,3714278.0
2024-09-15,0.9546,0.984,0.9393,0.9449,3014684.0
2024-09-16,0.9441,0.9601,0.7158,0.7795,29994158.0
2024-09-17,0.7793,0.844,0.7308,0.8305,28831682.0
2024-09-18,0.8305,0.8405,0.7747,0.8131,9656792.0
