Date,Open,High,Low,Close,Volume
2024-09-01,2.267,2.27,2.105,2.128,562139.5
2024-09-02,2.124,2.364,2.059,2.324,1350835.4
2024-09-03,2.328,2.399,2.225,2.232,1784987.3
2024-09-04,2.235,2.302,2.132,2.253,1099879.6
2024-09-05,2.255,2.255,2.094,2.115,667314.8
2024-09-06,2.113,2.192,2.005,2.098,699684.3
2024-09-07,2.1,2.134,2.054,2.074,341891.8
2024-09-08,2.074,2.178,2.066,2.14,303672.2
2024-09-09,2.138,2.245,2.126,2.229,434020.0
2024-09-10,2.23,2.269,2.194,2.243,409917.5
2024-09-11,2.241,2.244,2.136,2.198,355118.4
2024-09-12,2.199,2.311,2.199,2.285,436162.4
2024-09-13,2.285,2.325,2.222,2.302,375971.0
2024-09-14,2.305,2.331,2.227,2.256,492424.3
2024-09-15,2.256,2.295,2.162,2.185,328970.6
2024-09-16,2.181,2.196,2.107,2.135,547969.2
2024-09-17,2.135,2.228,2.112,2.2,536619.1
2024-09-18,2.199,2.208,2.025,2.198,1612522.6
