Date,Open,High,Low,Close,Volume
2024-09-01,1.0,1.0002,0.9999,0.9999,237273224.0
2024-09-02,0.9999,1.0002,0.9999,1.0,567483697.0
2024-09-03,1.0,1.0003,0.9999,1.0001,516775512.0
2024-09-04,1.0002,1.0002,0.9998,1.0,741798619.0
2024-09-05,1.0001,1.0003,0.9999,1.0003,587300917.0
2024-09-06,1.0002,1.001,1.0001,1.0002,1205811556.0
2024-09-07,1.0003,1.0003,1.0,1.0001,205091056.0
2024-09-08,1.0001,1.0002,0.9999,0.9999,252557683.0
2024-09-09,1.0,1.0002,0.9997,0.9997,846491241.0
2024-09-10,0.9997,1.0001,0.9997,0.9999,513681673.0
2024-09-11,1.0,1.0002,0.9997,0.9998,630629575.0
2024-09-12,0.9998,1.0002,0.9998,1.0,714726960.0
2024-09-13,0.9999,1.0001,0.9992,0.9992,1114737099.0
2024-09-14,0.9993,0.9998,0.9992,0.9997,397793969.0
2024-09-15,0.9997,1.0,0.9996,0.9998,289024827.0
2024-09-16,0.9998,1.0002,0.9997,1.0,787781808.0
2024-09-17,1.0,1.0001,0.9996,0.9997,941250006.0
2024-09-18,0.9998,1.0001,0.9997,0.9999,677395740.0
