Date,Open,High,Low,Close,Volume
2024-09-01,0.1618,0.1621,0.1508,0.1519,3475027.0
2024-09-02,0.1519,0.1629,0.1505,0.1628,2262821.0
2024-09-03,0.1628,0.1691,0.1537,0.1555,4393308.0
2024-09-04,0.1556,0.164,0.1504,0.1608,2586284.0
2024-09-05,0.161,0.1615,0.1529,0.1553,2507719.0
2024-09-06,0.1553,0.159,0.147,0.152,2767489.0
2024-09-07,0.152,0.1566,0.1507,0.1532,1723227.0
2024-09-08,0.1534,0.1584,0.1519,0.1578,2000444.0
2024-09-09,0.1578,0.1671,0.1567,0.1662,3230518.0
2024-09-10,0.1662,0.1706,0.1637,0.1698,2667214.0
2024-09-11,0.17,0.1702,0.1625,0.1675,2807838.0
2024-09-12,0.1677,0.1716,0.1669,0.1711,2247143.0
2024-09-13,0.171,0.1756,0.1687,0.1747,2105153.0
2024-09-14,0.1745,0.1753,0.1719,0.174,1671324.0
2024-09-15,0.1738,0.1755,0.1639,0.1645,1954334.0
2024-09-16,0.1645,0.1649,0.1548,0.1561,2397280.0
2024-09-17,0.1559,0.1633,0.1548,0.1606,1701305.0
2024-09-18,0.1605,0.1652,0.1543,0.1651,1823537.0
