Date,Open,High,Low,Close,Volume
2024-09-01,0.2089,0.2139,0.1961,0.1984,13237360.0
2024-09-02,0.1982,0.2151,0.1978,0.2103,16885527.8
2024-09-03,0.2104,0.2147,0.1953,0.197,19105914.2
2024-09-04,0.197,0.2084,0.1851,0.2037,19203774.9
2024-09-05,0.2037,0.2063,0.197,0.2006,10788699.7
2024-09-06,0.2005,0.205,0.182,0.1916,18053104.1
2024-09-07,0.1915,0.2004,0.1902,0.1963,10185081.3
2024-09-08,0.1963,0.2063,0.1921,0.2011,8140859.9
2024-09-09,0.2015,0.214,0.1987,0.209,11955316.8
2024-09-10,0.2092,0.211,0.2037,0.2075,10273170.8
2024-09-11,0.2074,0.2075,0.1937,0.1996,11841162.5
2024-09-12,0.1996,0.2058,0.196,0.2054,13099182.2
2024-09-13,0.2054,0.2139,0.2032,0.2113,20265512.3
2024-09-14,0.2116,0.2157,0.2041,0.2074,12744109.0
2024-09-15,0.2074,0.2163,0.1962,0.199,13089681.8
2024-09-16,0.1989,0.2021,0.1884,0.1921,14247008.4
2024-09-17,0.1919,0.2062,0.1882,0.2012,22346435.2
2024-09-18,0.2012,0.2108,0.1911,0.2103,26959900.2
