Date,Open,High,Low,Close,Volume
2024-09-01,0.0926,0.0926,0.0892,0.0899,23843045.0
2024-09-02,0.09,0.0926,0.0899,0.0923,33252195.0
2024-09-03,0.0924,0.0945,0.0914,0.0914,23276960.0
2024-09-04,0.0914,0.0925,0.0882,0.0916,50376402.0
2024-09-05,0.0917,0.0921,0.0897,0.0902,27440373.0
2024-09-06,0.0902,0.0905,0.0854,0.088,67823893.0
2024-09-07,0.088,0.0898,0.0875,0.0885,15318668.0
2024-09-08,0.0886,0.0902,0.0884,0.0899,19606832.0
2024-09-09,0.09,0.0939,0.0898,0.0931,27952083.0
2024-09-10,0.0932,0.0946,0.0925,0.094,22004436.0
2024-09-11,0.094,0.0941,0.0913,0.0927,26051971.0
2024-09-12,0.0927,0.0958,0.0923,0.095,52848125.0
2024-09-13,0.0949,0.097,0.094,0.0963,30079299.0
2024-09-14,0.0963,0.0974,0.0957,0.0972,27126992.0
2024-09-15,0.0971,0.0974,0.0945,0.0951,22202692.0
2024-09-16,0.0951,0.0957,0.0937,0.095,34011179.0
2024-09-17,0.0949,0.0964,0.094,0.0946,32102503.0
2024-09-18,0.0945,0.0961,0.0928,0.0961,33696704.0
