Date,Open,High,Low,Close,Volume
2024-09-01,0.5662,0.5667,0.5434,0.5472,121191438.0
2024-09-02,0.5471,0.5688,0.5443,0.5677,174750033.0
2024-09-03,0.5677,0.5724,0.5565,0.5572,179781483.0
2024-09-04,0.5572,0.5648,0.5326,0.5579,272577067.0
2024-09-05,0.5579,0.5598,0.5399,0.5444,213816210.0
2024-09-06,0.5445,0.5473,0.5026,0.5211,382035412.0
2024-09-07,0.5211,0.5329,0.5197,0.5248,82924642.0
2024-09-08,0.5249,0.5316,0.5208,0.5295,67909459.0
2024-09-09,0.5295,0.5431,0.5269,0.5395,168358952.0
2024-09-10,0.5395,0.5428,0.5337,0.5408,135693250.0
2024-09-11,0.5407,0.5413,0.5231,0.5348,187554599.0
2024-09-12,0.5347,0.5884,0.5334,0.5626,380827353.0
2024-09-13,0.5625,0.5745,0.5556,0.5728,270151559.0
2024-09-14,0.5727,0.5992,0.5704,0.5956,231500545.0
2024-09-15,0.5956,0.5958,0.5686,0.5706,126437096.0
2024-09-16,0.5706,0.5916,0.5598,0.5866,247830927.0
2024-09-17,0.5865,0.5934,0.5789,0.5839,173044465.0
2024-09-18,0.5838,0.5858,0.562,0.5852,204818640.0
