Date,Open,High,Low,Close,Volume
2024-09-01,7.3,7.42,7.05,7.07,182176.42
2024-09-02,7.06,7.41,7.04,7.36,211734.66
2024-09-03,7.35,7.54,7.15,7.16,154259.06
2024-09-04,7.16,7.52,6.83,7.37,230655.41
2024-09-05,7.37,7.49,7.16,7.28,149492.87
2024-09-06,7.28,7.94,7.19,7.81,1077764.24
2024-09-07,7.8,8.17,7.71,7.99,516051.94
2024-09-08,8.0,8.34,7.92,8.18,264648.39
2024-09-09,8.18,8.33,8.03,8.23,179884.25
2024-09-10,8.23,8.27,8.03,8.09,179861.54
2024-09-11,8.08,8.1,7.61,7.79,341136.35
2024-09-12,7.79,8.12,7.76,8.12,207971.0
2024-09-13,8.12,8.25,7.95,8.16,209977.49
2024-09-14,8.16,8.31,8.04,8.09,139660.64
2024-09-15,8.1,8.26,7.78,7.83,111170.37
2024-09-16,7.83,7.91,7.59,7.67,171059.09
2024-09-17,7.67,7.95,7.65,7.87,127514.54
2024-09-18,7.87,8.08,7.58,8.07,188340.0
