Date,Open,High,Low,Close,Volume
2024-09-01,0.0133,0.0133,0.01272,0.01285,78292474.8
2024-09-02,0.01284,0.0136,0.0127,0.01355,93359421.3
2024-09-03,0.01355,0.0139,0.01309,0.01313,142821975.8
2024-09-04,0.01313,0.01364,0.01246,0.01344,145260693.6
2024-09-05,0.01344,0.01349,0.01285,0.01301,88462044.9
2024-09-06,0.01299,0.01336,0.01213,0.01254,153774428.2
2024-09-07,0.01255,0.0131,0.01241,0.01274,105252748.6
2024-09-08,0.01275,0.01313,0.01264,0.01288,120100395.3
2024-09-09,0.01288,0.01342,0.01273,0.01328,149485113.2
2024-09-10,0.0133,0.0135,0.01312,0.01336,105261311.2
2024-09-11,0.01336,0.0134,0.01284,0.01324,113543835.1
2024-09-12,0.01324,0.01359,0.01323,0.01355,104455109.5
2024-09-13,0.01355,0.01392,0.01347,0.01381,88494908.6
2024-09-14,0.0138,0.01401,0.01351,0.01374,173358465.9
2024-09-15,0.01375,0.01394,0.01312,0.01328,110746685.2
2024-09-16,0.01328,0.0135,0.01286,0.01309,165132812.8
2024-09-17,0.01309,0.01362,0.01294,0.0135,94907253.6
2024-09-18,0.01352,0.01381,0.01298,0.01381,134752780.3
