Date,Open,High,Low,Close,Volume
2024-09-01,4.052,4.053,3.704,3.732,6972459.23
2024-09-02,3.732,3.874,3.628,3.798,5629244.66
2024-09-03,3.797,3.813,3.317,3.342,7346039.05
2024-09-04,3.342,3.394,3.123,3.339,8275870.15
2024-09-05,3.339,3.352,3.183,3.223,3721680.27
2024-09-06,3.223,3.364,3.041,3.199,6283499.98
2024-09-07,3.198,3.386,3.191,3.284,3544083.11
2024-09-08,3.28,3.432,3.253,3.374,3780256.68
2024-09-09,3.373,3.655,3.322,3.574,4643583.54
2024-09-10,3.574,3.598,3.473,3.571,3218278.64
2024-09-11,3.571,3.71,3.435,3.627,6324024.2
2024-09-12,3.626,3.832,3.621,3.794,4572070.55
2024-09-13,3.793,3.991,3.727,3.949,5975842.3
2024-09-14,3.95,4.05,3.796,3.873,3964234.25
2024-09-15,3.873,3.947,3.661,3.714,3499373.41
2024-09-16,3.713,4.04,3.63,3.906,7274545.88
2024-09-17,3.907,4.19,3.779,4.036,8268124.84
2024-09-18,4.034,4.252,3.746,4.229,7535651.81
