Date,Open,High,Low,Close,Volume
2024-09-01,0.1409,0.142,0.1383,0.1384,3065443.0
2024-09-02,0.1385,0.1465,0.138,0.1457,4498177.0
2024-09-03,0.1457,0.1495,0.1444,0.1444,5082582.0
2024-09-04,0.1444,0.1467,0.1393,0.1442,7734354.0
2024-09-05,0.1442,0.1447,0.1401,0.1408,3579731.0
2024-09-06,0.1407,0.1434,0.1372,0.1382,7310079.0
2024-09-07,0.1382,0.1396,0.138,0.1388,2441523.0
2024-09-08,0.1388,0.1414,0.1382,0.1411,2739626.0
2024-09-09,0.1411,0.1471,0.139,0.146,4584453.0
2024-09-10,0.1461,0.148,0.1451,0.1478,2602210.0
2024-09-11,0.1478,0.1507,0.1442,0.1491,6418244.0
2024-09-12,0.1491,0.1503,0.1469,0.1477,4916422.0
2024-09-13,0.1477,0.1489,0.1454,0.1484,2961767.0
2024-09-14,0.1484,0.1488,0.1468,0.147,1425807.0
2024-09-15,0.147,0.1473,0.1444,0.145,2158536.0
2024-09-16,0.145,0.1451,0.1365,0.1369,5053739.0
2024-09-17,0.137,0.1418,0.1359,0.1393,4467979.0
2024-09-18,0.1395,0.1446,0.1383,0.1445,8475220.0
2024-09-19,0.1446,0.1528,0.1446,0.1503,5930494.0
2024-09-20,0.1504,0.1597,0.1482,0.1541,14125734.0
2024-09-21,0.1541,0.1605,0.1527,0.1602,6366200.0
2024-09-22,0.1602,0.1605,0.1498,0.1509,9334140.0
2024-09-23,0.1509,0.1569,0.1496,0.1538,7680788.0
2024-09-24,0.1538,0.1564,0.1531,0.1557,3550214.0
