Date,Open,High,Low,Close,Volume
2024-09-01,0.324,0.325,0.299,0.304,17933404.71
2024-09-02,0.303,0.332,0.302,0.328,17177144.97
2024-09-03,0.328,0.335,0.307,0.31,15614422.47
2024-09-04,0.309,0.331,0.291,0.321,20222189.82
2024-09-05,0.321,0.325,0.304,0.309,12889318.4
2024-09-06,0.308,0.322,0.287,0.301,25560006.17
2024-09-07,0.301,0.321,0.299,0.315,11397966.89
2024-09-08,0.315,0.336,0.313,0.328,15097227.36
2024-09-09,0.328,0.348,0.325,0.34,16333976.52
2024-09-10,0.34,0.344,0.329,0.337,13423125.25
2024-09-11,0.338,0.339,0.321,0.333,28464238.33
2024-09-12,0.333,0.342,0.329,0.341,13970068.6
2024-09-13,0.341,0.355,0.334,0.351,19976069.58
2024-09-14,0.351,0.359,0.342,0.348,11815500.43
2024-09-15,0.347,0.352,0.326,0.33,12129149.95
2024-09-16,0.329,0.337,0.314,0.32,14145596.85
2024-09-17,0.319,0.371,0.316,0.367,24231643.76
2024-09-18,0.366,0.379,0.351,0.376,30611156.25
2024-09-19,0.376,0.395,0.374,0.383,21667067.7
2024-09-20,0.384,0.4,0.369,0.398,24885807.88
2024-09-21,0.398,0.403,0.379,0.396,13834244.63
2024-09-22,0.396,0.399,0.364,0.38,18605478.53
2024-09-23,0.38,0.41,0.371,0.4,20320092.56
2024-09-24,0.401,0.4161,0.3825,0.4061,32438001.58
