Date,Open,High,Low,Close,Volume
2024-09-01,1.043,1.051,0.981,0.988,6176481.2
2024-09-02,0.988,1.047,0.986,1.033,7670268.4
2024-09-03,1.034,1.055,0.96,0.963,7532720.4
2024-09-04,0.964,1.016,0.917,0.983,8017403.9
2024-09-05,0.984,0.986,0.935,0.94,5114079.4
2024-09-06,0.94,0.993,0.892,0.937,9877782.8
2024-09-07,0.937,0.961,0.919,0.934,4472939.1
2024-09-08,0.934,1.0,0.933,0.99,6253196.1
2024-09-09,0.991,1.077,0.984,1.048,12322046.8
2024-09-10,1.049,1.076,1.024,1.046,9751985.6
2024-09-11,1.047,1.065,0.997,1.039,12042219.2
2024-09-12,1.04,1.123,1.04,1.09,14446909.6
2024-09-13,1.091,1.109,1.04,1.086,11360703.7
2024-09-14,1.087,1.108,1.042,1.055,6653882.9
2024-09-15,1.056,1.073,1.0,1.01,6912111.5
2024-09-16,1.01,1.036,0.986,1.002,5791333.5
2024-09-17,1.002,1.041,0.983,1.004,9829758.0
2024-09-18,1.004,1.059,0.958,1.057,16841296.0
2024-09-19,1.058,1.166,1.056,1.123,20326057.0
2024-09-20,1.124,1.251,1.106,1.197,16279159.0
2024-09-21,1.198,1.244,1.173,1.236,7478232.7
2024-09-22,1.236,1.24,1.132,1.178,8321738.1
2024-09-23,1.178,1.474,1.153,1.439,31159484.6
2024-09-24,1.439,1.557,1.401,1.493,21436336.9
