Date,Open,High,Low,Close,Volume
2024-09-01,0.03682,0.03695,0.03463,0.03496,24045527.7
2024-09-02,0.03492,0.03692,0.03486,0.03678,27350462.4
2024-09-03,0.03678,0.03733,0.03481,0.03489,26071436.1
2024-09-04,0.0349,0.0363,0.03281,0.03582,22890239.9
2024-09-05,0.03582,0.03689,0.03495,0.03535,25073768.4
2024-09-06,0.03536,0.03603,0.03223,0.03357,55210399.7
2024-09-07,0.03356,0.03472,0.03328,0.0341,17939458.8
2024-09-08,0.03411,0.03633,0.03409,0.03524,84317922.8
2024-09-09,0.03527,0.03806,0.03525,0.03759,66227080.5
2024-09-10,0.03761,0.03838,0.03688,0.03795,25493987.3
2024-09-11,0.03793,0.0425,0.03598,0.04053,227223665.2
2024-09-12,0.04052,0.04266,0.04022,0.04112,246583080.7
2024-09-13,0.04111,0.04199,0.04018,0.04136,97473819.5
2024-09-14,0.04136,0.04191,0.0401,0.04071,80401577.9
2024-09-15,0.0407,0.0413,0.03892,0.03948,59687746.6
2024-09-16,0.03946,0.03984,0.03832,0.03898,42870335.9
2024-09-17,0.03899,0.04169,0.03857,0.0401,88310574.5
2024-09-18,0.0401,0.04145,0.03779,0.04145,52423416.3
2024-09-19,0.04144,0.04472,0.04139,0.04341,106601864.3
2024-09-20,0.04344,0.0449,0.0421,0.04352,98930226.9
2024-09-21,0.0435,0.04465,0.04223,0.04391,64414335.8
2024-09-22,0.04394,0.04406,0.04121,0.04265,45247235.3
2024-09-23,0.04264,0.04636,0.04167,0.04521,86635854.4
2024-09-24,0.04523,0.048,0.04436,0.04676,145936689.5
